Feature Set,Model,WindowSize,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s)
6_All_Combined,RF,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5876 ± 0.0789,0.5953 ± 0.0723,0.4652 ± 0.1317,0.3648 ± 0.1296,0.8258 ± 0.0988,0.6851 ± 0.1010,6.3451 ± 1.5415
6_All_Combined,XGB,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5808 ± 0.1018,0.5831 ± 0.0985,0.5078 ± 0.1456,0.4353 ± 0.1388,0.7309 ± 0.1088,0.6556 ± 0.1265,3699.5760 ± 824.7480
6_All_Combined,GB,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.6002 ± 0.1418,0.6043 ± 0.1390,0.5342 ± 0.1862,0.4620 ± 0.1705,0.7465 ± 0.1232,0.6624 ± 0.1690,45.2734 ± 6.8194
6_All_Combined,LR,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.4897 ± 0.0482,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.7580 ± 0.2370
6_All_Combined,DT,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5312 ± 0.0609,0.5371 ± 0.0504,0.4627 ± 0.0380,0.4010 ± 0.0904,0.6732 ± 0.1462,0.5323 ± 0.0489,0.3179 ± 0.0114
HR_1_TimeDomain_Stats,GB,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5309 ± 0.0194,0.5377 ± 0.0224,0.4673 ± 0.0425,0.4098 ± 0.0816,0.6657 ± 0.0792,0.5661 ± 0.0270,18.8310 ± 2.4576
HR_1_TimeDomain_Stats,RF,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5443 ± 0.0387,0.5521 ± 0.0266,0.4818 ± 0.0631,0.4255 ± 0.1069,0.6786 ± 0.0583,0.5684 ± 0.0522,6.5756 ± 2.3604
HR_1_TimeDomain_Stats,XGB,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5487 ± 0.0446,0.5560 ± 0.0379,0.4915 ± 0.0799,0.4411 ± 0.1267,0.6708 ± 0.0615,0.5833 ± 0.0375,2.0417 ± 0.9095
HR_1_TimeDomain_Stats,LR,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.4897 ± 0.0482,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5002 ± 0.0004,0.0524 ± 0.0044
HR_1_TimeDomain_Stats,DT,60 Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5200 ± 0.0410,0.5234 ± 0.0396,0.4858 ± 0.0581,0.4496 ± 0.0785,0.5971 ± 0.0300,0.5251 ± 0.0462,0.1294 ± 0.0108
