Feature Set,Model,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s),win_size
6_All_Combined,RF,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.7316 ± 0.1301,0.7461 ± 0.1128,0.7106 ± 0.1379,0.6223 ± 0.1871,0.8699 ± 0.1243,0.8384 ± 0.1235,631.3410 ± 46.7469,2
6_All_Combined,XGB,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.7369 ± 0.1460,0.7565 ± 0.1208,0.6977 ± 0.1747,0.5919 ± 0.2215,0.9211 ± 0.0678,0.8347 ± 0.1321,50.2285 ± 2.3282,2
6_All_Combined,GB,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.7330 ± 0.1375,0.7514 ± 0.1136,0.7011 ± 0.1645,0.6122 ± 0.2308,0.8905 ± 0.1107,0.8351 ± 0.1334,4355.9182 ± 229.6503,2
6_All_Combined,LR,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.4595 ± 0.0639,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,104.9761 ± 35.1951,2
6_All_Combined,DT,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.7089 ± 0.0900,0.7157 ± 0.0825,0.7116 ± 0.0719,0.6623 ± 0.1182,0.7691 ± 0.1537,0.7157 ± 0.0825,26.9023 ± 2.2161,2
ACC_1_TimeDomain_Stats_XYZ,RF,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6726 ± 0.1565,0.6876 ± 0.1405,0.6460 ± 0.1840,0.5824 ± 0.2174,0.7928 ± 0.1162,0.7625 ± 0.1834,413.2445 ± 78.6458,2
ACC_1_TimeDomain_Stats_XYZ,XGB,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6774 ± 0.1693,0.6927 ± 0.1509,0.6480 ± 0.2072,0.5889 ± 0.2424,0.7964 ± 0.1195,0.7654 ± 0.1971,32.0130 ± 1.1082,2
ACC_1_TimeDomain_Stats_XYZ,GB,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6811 ± 0.1644,0.6961 ± 0.1462,0.6548 ± 0.2015,0.6002 ± 0.2422,0.7919 ± 0.1183,0.7751 ± 0.1829,2169.0889 ± 104.1556,2
ACC_1_TimeDomain_Stats_XYZ,LR,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.4595 ± 0.0639,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,17.7120 ± 4.6830,2
