participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.44672454617206,0.4201378151606985,0.434132161636473,0.4201378151606985,0.726218121856223,0.1938173770904541,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
2,15983,899,0.3592880978865406,0.32663641176915514,0.26427284895205666,0.32663641176915514,0.6645972648479761,0.2036271095275879,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
3,15600,1282,0.47737909516380655,0.47841930225250584,0.48164171510702464,0.47841930225250584,0.7362718471419464,0.20854568481445312,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
4,15848,1034,0.4796905222437137,0.41349402370678967,0.35252151542878357,0.41349402370678967,0.7159828637786805,0.20401668548583984,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
5,15281,1601,0.5209244222361025,0.38963689048884814,0.3960273377207842,0.38963689048884814,0.7458102818606746,0.19300532341003418,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
6,15983,899,0.40600667408231367,0.29635305614783225,0.2536625256637784,0.29635305614783225,0.6394619969720501,0.19274258613586426,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
7,15744,1138,0.3945518453427065,0.3672625513657836,0.3789877141572931,0.3672625513657836,0.7053268814771468,0.19360756874084473,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
8,15709,1173,0.3674339300937766,0.4453264447551808,0.3384672512755094,0.4453264447551808,0.7056761428472758,0.20357823371887207,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
9,16745,137,0.46715328467153283,0.38048322777386817,0.3144916086092557,0.38048322777386817,0.7049290372075182,0.19495701789855957,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
10,16782,100,0.52,0.52,0.2280701754385965,0.17333333333333334,0.5066666666666667,0.2396993637084961,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
11,16736,146,0.273972602739726,0.4566091954022989,0.2824675324675325,0.30440613026819924,0.7173358526216344,0.20448875427246094,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
12,15491,1391,0.4565061107117182,0.5306427612448044,0.42418102139271313,0.5306427612448044,0.7478777506423414,0.19219350814819336,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
13,15322,1560,0.37051282051282053,0.3334127642549085,0.29464568579879613,0.3334127642549085,0.6752450264240047,0.19299864768981934,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
14,16362,520,0.35192307692307695,0.346551724137931,0.2502740467794551,0.23103448275862068,0.613435589897359,0.2413475513458252,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
