participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.5201262825572218,0.44181890291730114,0.45630181498187233,0.44181890291730114,0.7519336174854053,14.850626707077026,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
2,15983,899,0.2992213570634038,0.2740087739202784,0.23372202173116274,0.2740087739202784,0.6369368859543211,15.231932163238525,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
3,15600,1282,0.39313572542901715,0.40010652909470457,0.3918745638560792,0.40010652909470457,0.6956841480823254,14.151488542556763,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
4,15848,1034,0.41005802707930367,0.4103380676651953,0.3887226016176039,0.4103380676651953,0.7124886937796754,14.908446311950684,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
5,15281,1601,0.5028107432854466,0.503634382883022,0.4806149690452017,0.503634382883022,0.7717725831445367,16.899450302124023,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
6,15983,899,0.3659621802002225,0.26275615967780147,0.25057802717377187,0.26275615967780147,0.6160943785402734,17.061339139938354,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
7,15744,1138,0.4235500878734622,0.4126175246612853,0.41314220324559603,0.4126175246612853,0.7117147603748547,17.450788974761963,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
8,15709,1173,0.3734015345268542,0.4446159726492122,0.35762531237545464,0.4446159726492122,0.7106571746022231,14.267600297927856,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
9,16745,137,0.5547445255474452,0.4557823129251701,0.39756022149141296,0.4557823129251701,0.7426160337552742,15.397080183029175,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
10,16782,100,0.54,0.54,0.23376623376623376,0.18000000000000002,0.5133333333333333,15.600905418395996,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
11,16736,146,0.23972602739726026,0.43505747126436783,0.2770311436046303,0.2900383141762452,0.7094630766808377,15.481531381607056,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
12,15491,1391,0.5291157440690151,0.5638549655937181,0.4770136115115704,0.5638549655937181,0.7847365631385722,13.481836557388306,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
13,15322,1560,0.34935897435897434,0.32400060258251845,0.2760751930564906,0.32400060258251845,0.666230456790437,13.997707605361938,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
14,16362,520,0.475,0.43755622188905546,0.2800042026897214,0.291704147926037,0.6770903010033443,14.687328338623047,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
15,15856,1026,0.42592592592592593,0.5020511269299555,0.4180684931200964,0.5020511269299555,0.7363143244661354,14.712781190872192,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
16,16419,463,0.3650107991360691,0.300220189701897,0.23792547321959087,0.300220189701897,0.6501244780213011,14.903419494628906,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
17,16633,249,0.6987951807228916,0.3684210526315789,0.3404012279574498,0.3684210526315789,0.7095059731982108,15.419425964355469,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
18,16814,68,0.08823529411764706,0.6666666666666666,0.35353535353535354,0.6666666666666666,0.6868686868686869,15.376938819885254,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
20,16523,359,0.5598885793871866,0.5583454422164099,0.5489101995819722,0.5583454422164099,0.7811032166120552,15.13936972618103,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
21,16452,430,0.45348837209302323,0.48846921455617104,0.4452234116398994,0.48846921455617104,0.7692541856925419,15.110090732574463,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
22,16855,27,1.0,1.0,1.0,1.0,1.0,15.603646039962769,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
23,16555,327,0.5137614678899083,0.5677694261219342,0.5211018214774777,0.5677694261219342,0.7463570534596817,15.775590658187866,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
24,16816,66,0.21212121212121213,0.11864406779661017,0.1278538812785388,0.07909604519774012,0.7373737373737373,15.53831148147583,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
25,16493,389,0.5526992287917738,0.2437641723356009,0.2545885139135583,0.2437641723356009,0.7013292186142345,15.593449592590332,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
26,16817,65,0.6153846153846154,0.624369296833065,0.5113157894736842,0.624369296833065,0.8236424394319131,15.54452109336853,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
27,16813,69,0.34782608695652173,0.40950226244343896,0.3141390551257724,0.40950226244343896,0.6994633273703043,15.488293886184692,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
28,16807,75,0.28,0.2716049382716049,0.24231199931087952,0.2716049382716049,0.642056530214425,15.651840925216675,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
29,16832,50,0.32,0.3711111111111111,0.2858630513802927,0.3711111111111111,0.6840476190476191,15.89400577545166,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
31,16810,72,0.5694444444444444,0.5679012345679012,0.5196265172735761,0.5679012345679012,0.7790123456790123,15.391124963760376,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
