participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.6708760852407262,0.5768730482689293,0.5704610506289621,0.5768730482689293,0.8213537164985993,0.25937676429748535,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
2,15983,899,0.339265850945495,0.32107102337190835,0.2750453907704023,0.32107102337190835,0.6628304561182715,0.261275053024292,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
3,15600,1282,0.5046801872074883,0.5242561566797147,0.4793206874773901,0.5242561566797147,0.7545172551241649,0.22104835510253906,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
4,15848,1034,0.46131528046421666,0.44217287440691694,0.4311067891510721,0.44217287440691694,0.7289790832782866,0.26407694816589355,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
5,15281,1601,0.6645846346033729,0.5987660916307291,0.5933288682730821,0.5987660916307291,0.8261410711752276,0.21517491340637207,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
6,15983,899,0.41045606229143494,0.30503361170338783,0.20724822862265388,0.30503361170338783,0.6423644462313204,0.2447190284729004,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
7,15744,1138,0.45694200351493847,0.4457603258457779,0.4249611089613552,0.4457603258457779,0.7381411613891404,0.23038697242736816,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
8,15709,1173,0.31628303495311166,0.3845159839493329,0.3169324008720215,0.3845159839493329,0.6607570566090515,0.2447197437286377,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
9,16745,137,0.4306569343065693,0.35711158026428963,0.3373615801090381,0.35711158026428963,0.6973855435939903,0.2821977138519287,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
10,16782,100,0.66,0.66,0.26506024096385544,0.22,0.5533333333333333,0.27138757705688477,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
11,16736,146,0.410958904109589,0.4933908045977011,0.3446250356429997,0.32892720306513407,0.7029732850469742,0.23780083656311035,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
12,15491,1391,0.48813803019410495,0.5444082950277256,0.46128284133977915,0.5444082950277256,0.759076024029972,0.20366430282592773,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
13,15322,1560,0.28717948717948716,0.2799200125026894,0.2588885984063458,0.2799200125026894,0.6475659035799409,0.25590085983276367,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
14,16362,520,0.5057692307692307,0.5024737631184407,0.36113478276703453,0.3349825087456271,0.7039038173221082,0.2574772834777832,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
15,15856,1026,0.30116959064327486,0.33784022313266876,0.2991203787693026,0.33784022313266876,0.6634906473423537,0.2548551559448242,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
16,16419,463,0.3930885529157667,0.3269393631436314,0.2738134109056369,0.3269393631436314,0.6619222146526077,0.22169804573059082,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
17,16633,249,0.7630522088353414,0.5901391409558379,0.5936519607843137,0.5901391409558379,0.7529320061530397,0.2754967212677002,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
18,16814,68,0.10294117647058823,0.6720430107526881,0.36442816442816445,0.6720430107526881,0.6919191919191919,0.2696094512939453,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
20,16523,359,0.6239554317548747,0.6014918143950402,0.5925744021404737,0.6014918143950402,0.8140863306273274,0.29255175590515137,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
21,16452,430,0.3697674418604651,0.49529964747356053,0.36600904107347404,0.49529964747356053,0.7441146626078133,0.22008252143859863,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
22,16855,27,0.2962962962962963,0.5,0.22857142857142856,0.5,0.5,0.26509714126586914,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
23,16555,327,0.4709480122324159,0.394832199894326,0.41100668337510443,0.394832199894326,0.7624386634086259,0.1968519687652588,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
24,16816,66,0.06060606060606061,0.03389830508474576,0.042328042328042326,0.022598870056497175,0.6814757746961136,0.28566479682922363,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
25,16493,389,0.570694087403599,0.3679138321995465,0.3898390398317692,0.3679138321995465,0.7015923232489237,0.2540092468261719,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
26,16817,65,0.6461538461538462,0.6512077294685991,0.5552084505985215,0.6512077294685991,0.8399164578111947,0.2563033103942871,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
27,16813,69,0.4492753623188406,0.47209653092006026,0.40268549280177185,0.47209653092006026,0.725551580202743,0.273334264755249,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
28,16807,75,0.48,0.4518518518518519,0.4553960659223817,0.4518518518518519,0.7419103313840156,0.28612804412841797,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
29,16832,50,0.42,0.4288888888888889,0.3995115995115995,0.4288888888888889,0.7066666666666667,0.26830196380615234,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
31,16810,72,0.5555555555555556,0.5493827160493827,0.49583333333333335,0.5493827160493827,0.7691358024691358,0.2869546413421631,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
