participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.40568271507498027,0.39236874992023735,0.4021723535544081,0.39236874992023735,0.714708347322404,2.848301887512207,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
2,15983,899,0.39154616240266965,0.37473942969518187,0.3612727703756266,0.37473942969518187,0.6894511180730584,2.570000410079956,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
3,15600,1282,0.4048361934477379,0.4074753538492222,0.41071921708150905,0.4074753538492222,0.7011277690631091,2.0529587268829346,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
4,15848,1034,0.41005802707930367,0.4110998590652846,0.3947847195619855,0.4110998590652846,0.7196637997295464,2.141239643096924,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
5,15281,1601,0.434103685196752,0.4740731527816167,0.42319448853141034,0.4740731527816167,0.7499105184127922,2.007080316543579,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
6,15983,899,0.3548387096774194,0.253868307273158,0.24550537539268777,0.253868307273158,0.6085812925463743,2.390331745147705,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
7,15744,1138,0.37521968365553604,0.37120649911062414,0.37303421488524996,0.37120649911062414,0.6947344501917274,2.1644201278686523,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
8,15709,1173,0.4151747655583973,0.48523129896421,0.4028436240543851,0.48523129896421,0.72389229624688,2.041715383529663,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
9,16745,137,0.6788321167883211,0.6078348580811634,0.596938646972658,0.6078348580811634,0.8265807549050185,2.221149206161499,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
10,16782,100,0.55,0.55,0.23655913978494625,0.18333333333333335,0.5166666666666667,2.2346138954162598,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
11,16736,146,0.363013698630137,0.4879310344827586,0.3083661159192237,0.3252873563218391,0.7075709861963996,2.1737332344055176,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
12,15491,1391,0.41480948957584474,0.449036007784106,0.4150193664663118,0.449036007784106,0.7174878235825585,2.33241868019104,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
