participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.6661404893449092,0.5556797398902662,0.5331930077491439,0.5556797398902662,0.8150380862002318,21.371615886688232,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
2,15983,899,0.2625139043381535,0.23256637168141592,0.14866050005791537,0.23256637168141592,0.6114490799990694,23.754133939743042,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
3,15600,1282,0.47269890795631825,0.4977329728938285,0.4180622000911767,0.4977329728938285,0.7399821880337494,19.27627396583557,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
4,15848,1034,0.4700193423597679,0.42780416687331585,0.40853057596800885,0.42780416687331585,0.7241968730885283,20.87790083885193,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
5,15281,1601,0.6527170518425984,0.5828482569026369,0.5808982996859337,0.5828482569026369,0.8160724774191787,21.065509557724,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
6,15983,899,0.41156840934371525,0.3062033582089552,0.20289193746217601,0.3062033582089552,0.6436508044396985,21.274219512939453,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
7,15744,1138,0.48857644991212656,0.4654793872083547,0.4572016387774524,0.4654793872083547,0.7488198404063692,19.3217511177063,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
8,15709,1173,0.36231884057971014,0.4339626203038854,0.34798798692641303,0.4339626203038854,0.6877298967615451,19.467630624771118,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
9,16745,137,0.48905109489051096,0.4040581749941356,0.39261210288427145,0.4040581749941356,0.7311408178555937,22.647138357162476,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
10,16782,100,0.68,0.68,0.2698412698412698,0.22666666666666668,0.56,22.76291537284851,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
