participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.6440410418310971,0.5324318679581838,0.5068927067010622,0.5324318679581838,0.8024964805482684,3.9707791805267334,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
2,15983,899,0.28809788654060065,0.2641759322290296,0.22697280526597086,0.2641759322290296,0.6314765595365304,301.89405488967896,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
3,15600,1282,0.3790951638065523,0.3849556575655993,0.37430547555808985,0.3849556575655993,0.688341873814176,2.1174769401550293,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
4,15848,1034,0.5222437137330754,0.48180310676321314,0.4771020993568256,0.48180310676321314,0.757763215817374,267.0259528160095,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
5,15281,1601,0.49531542785758903,0.5218474951907947,0.4752905046921514,0.5218474951907947,0.766284080504469,34.24823307991028,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
6,15983,899,0.36373748609566187,0.25973554844823504,0.25164631890492045,0.25973554844823504,0.6122023038627399,262.8587443828583,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
7,15744,1138,0.45606326889279436,0.4258480035346665,0.4211550106629196,0.4258480035346665,0.721427499110357,39.73590588569641,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
8,15709,1173,0.3554987212276215,0.438964328604243,0.3212323443603394,0.438964328604243,0.7001737554925905,1.1641454696655273,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
9,16745,137,0.5547445255474452,0.4557823129251701,0.39756022149141296,0.4557823129251701,0.7426160337552742,302.15552973747253,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
10,16782,100,0.32,0.32,0.16161616161616163,0.10666666666666667,0.44,2.323713779449463,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
11,16736,146,0.22602739726027396,0.40172413793103445,0.25733347453139893,0.26781609195402295,0.6860599380674959,252.82211565971375,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
12,15491,1391,0.5499640546369519,0.5813846448056402,0.49383630666460815,0.5813846448056402,0.7926759278138134,48.607879877090454,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
13,15322,1560,0.31987179487179485,0.30189287364712053,0.25486602591273316,0.30189287364712053,0.6523467198395599,243.75665044784546,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
14,16362,520,0.47884615384615387,0.44190404797601196,0.2852608624217712,0.2946026986506746,0.6799888517279822,58.55145764350891,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
15,15856,1026,0.40350877192982454,0.4847442347160092,0.38814522333485796,0.4847442347160092,0.7331510979853534,1.2570478916168213,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
16,16419,463,0.42548596112311016,0.35742716802168023,0.31188415610430464,0.35742716802168023,0.6848585051368533,302.6363322734833,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
17,16633,249,0.6987951807228916,0.3684210526315789,0.3404012279574498,0.3684210526315789,0.7095059731982108,2.186673164367676,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
18,16814,68,0.08823529411764706,0.6666666666666666,0.35353535353535354,0.6666666666666666,0.6868686868686869,300.3040499687195,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
20,16523,359,0.5598885793871866,0.5583454422164099,0.5489101995819722,0.5583454422164099,0.7811032166120552,1.8020710945129395,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
21,16452,430,0.36046511627906974,0.39733460168242773,0.339367092855465,0.39733460168242773,0.7322171486555048,3.530240297317505,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
22,16855,27,1.0,1.0,1.0,1.0,1.0,297.96531677246094,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
23,16555,327,0.5382262996941896,0.5894496429241022,0.5460747383684276,0.5894496429241022,0.759168206289608,1.1626930236816406,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
24,16816,66,0.21212121212121213,0.11864406779661017,0.1278538812785388,0.07909604519774012,0.7373737373737373,302.31512999534607,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
25,16493,389,0.5526992287917738,0.2437641723356009,0.2545885139135583,0.2437641723356009,0.7013292186142345,5.075667381286621,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
26,16817,65,0.6153846153846154,0.624369296833065,0.5113157894736842,0.624369296833065,0.8236424394319131,1.294023036956787,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
27,16813,69,0.37681159420289856,0.43514328808446456,0.3461125813604177,0.43514328808446456,0.712283840190817,302.70805954933167,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
28,16807,75,0.28,0.2716049382716049,0.24231199931087952,0.2716049382716049,0.642056530214425,2.4004695415496826,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
29,16832,50,0.32,0.3711111111111111,0.2874074074074074,0.3711111111111111,0.6790476190476191,300.90763783454895,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
31,16810,72,0.5555555555555556,0.5555555555555556,0.4989177489177489,0.5555555555555556,0.7716049382716049,2.1250460147857666,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_range"
