participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.4230465666929755,0.4028583994259051,0.40202618307383187,0.4028583994259051,0.7114795603081671,0.0836179256439209,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
2,15983,899,0.41713014460511677,0.41714771953710006,0.4169896331738437,0.41714771953710006,0.7097860659909497,0.0830988883972168,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
3,15600,1282,0.3361934477379095,0.33039320864970456,0.3229889021514307,0.33039320864970456,0.6653406589449345,0.07048344612121582,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
4,15848,1034,0.3984526112185687,0.3720268251252294,0.37050763964917094,0.3720268251252294,0.7086672035681526,0.05870985984802246,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
5,15281,1601,0.3697688944409744,0.3418382340187061,0.3312062206111445,0.3418382340187061,0.6724642434822415,0.059305667877197266,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
6,15983,899,0.3359288097886541,0.23840988509831793,0.25271008713631665,0.23840988509831793,0.6324408168064077,0.05887126922607422,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
7,15744,1138,0.4121265377855888,0.39795278092750935,0.40087957867753743,0.39795278092750935,0.7125261932747021,0.05903148651123047,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
8,15709,1173,0.3188405797101449,0.35299998794381326,0.31917916228682025,0.35299998794381326,0.6762789817987788,0.05866599082946777,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
9,16745,137,0.32116788321167883,0.3502228477597935,0.33069613267633075,0.3502228477597935,0.673310802333043,0.05962538719177246,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
10,16782,100,0.45,0.45,0.20689655172413793,0.15,0.4833333333333334,0.06940722465515137,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
11,16736,146,0.1780821917808219,0.21091954022988507,0.18822017169352248,0.14061302681992338,0.6906865060620375,0.0698850154876709,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
12,15491,1391,0.38102084831056793,0.3913416319415015,0.3785255687613403,0.3913416319415015,0.6920876773164936,0.07701754570007324,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
13,15322,1560,0.4173076923076923,0.42183601805133214,0.4128581787572381,0.42183601805133214,0.7048753442695203,0.05832672119140625,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
14,16362,520,0.3942307692307692,0.39302848575712146,0.3031878031878032,0.26201899050474764,0.6884432783608196,0.06888151168823242,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
15,15856,1026,0.3908382066276803,0.37453002573163885,0.3466307123885504,0.37453002573163885,0.6799903171136007,0.06818389892578125,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
16,16419,463,0.32397408207343414,0.34795750702834133,0.3146800469731686,0.34795750702834133,0.6752020234305535,0.07072830200195312,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
17,16633,249,0.3132530120481928,0.21591820368885326,0.2160298638559508,0.21591820368885326,0.6017122872574727,0.07283902168273926,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
18,16814,68,0.4264705882352941,0.15591397849462366,0.21245421245421245,0.15591397849462366,0.8003472222222222,0.07119178771972656,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
20,16523,359,0.4568245125348189,0.3918240821466628,0.3616827151418347,0.3918240821466628,0.7073728755792072,0.07117295265197754,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
21,16452,430,0.5116279069767442,0.3542163281293716,0.3180391929978263,0.3542163281293716,0.7146782187878079,0.07012367248535156,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
22,16855,27,0.7037037037037037,0.5,0.3247863247863248,0.3333333333333333,0.8719135802469135,0.06956648826599121,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
23,16555,327,0.27522935779816515,0.37234067938163656,0.2776313151615815,0.37234067938163656,0.6498226950354611,0.05969381332397461,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
24,16816,66,0.06060606060606061,0.2857142857142857,0.07407407407407407,0.19047619047619047,0.6718883752782058,0.06927919387817383,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
25,16493,389,0.4524421593830334,0.4786126571840858,0.41287161539878436,0.4786126571840858,0.7372318166393518,0.06911039352416992,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
26,16817,65,0.4153846153846154,0.4119162640901772,0.4076667518527984,0.4119162640901772,0.705329991645781,0.0712733268737793,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
27,16813,69,0.463768115942029,0.4781297134238311,0.459914376159199,0.4781297134238311,0.7319618366129994,0.06939458847045898,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
28,16807,75,0.3333333333333333,0.35061728395061725,0.32830357483811484,0.35061728395061725,0.674756335282651,0.07715964317321777,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
29,16832,50,0.3,0.2933333333333334,0.28695850433196535,0.2933333333333334,0.6307142857142857,0.07738280296325684,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
31,16810,72,0.4166666666666667,0.43209876543209874,0.40011340011340013,0.43209876543209874,0.7185185185185187,0.06903314590454102,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
