participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.4435674822415154,0.4536852560307938,0.43861762226626017,0.4536852560307938,0.723644881628852,7.1265857219696045,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
2,15983,899,0.40489432703003336,0.4056122834883897,0.4024436700967546,0.4056122834883897,0.7027999304178499,8.579885959625244,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
3,15600,1282,0.35725429017160687,0.3528492465687599,0.3500238463316608,0.3528492465687599,0.675925896620594,7.115464687347412,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
4,15848,1034,0.4158607350096712,0.42254051356444977,0.4018162817525939,0.42254051356444977,0.7218542563569356,8.445634126663208,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
5,15281,1601,0.3910056214865709,0.4001329011945576,0.3718389946834327,0.4001329011945576,0.7056629093194182,7.00196385383606,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
6,15983,899,0.3370411568409344,0.23600376095711917,0.24855552564977904,0.23600376095711917,0.6223710350446665,8.178730487823486,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
7,15744,1138,0.327768014059754,0.3262792312990615,0.32333955298420997,0.3262792312990615,0.6629153652492402,7.446453809738159,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
8,15709,1173,0.2966751918158568,0.31216042166410934,0.29682633435647177,0.31216042166410934,0.655571469816007,7.9925079345703125,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
9,16745,137,0.41605839416058393,0.3498397059973415,0.31756080849606033,0.3498397059973415,0.681967402643494,7.3438801765441895,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
10,16782,100,0.49,0.49,0.21923937360178972,0.16333333333333333,0.49666666666666665,7.397536277770996,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
11,16736,146,0.3972602739726027,0.3612068965517241,0.30749534450651766,0.2408045977011494,0.670180548994909,7.1865928173065186,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
12,15491,1391,0.46369518332135157,0.4881702082745334,0.46909820917158895,0.4881702082745334,0.7267628643643436,6.6513636112213135,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
13,15322,1560,0.41602564102564105,0.40637508047111526,0.4042508570768631,0.40637508047111526,0.6977527643393615,6.836690664291382,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
14,16362,520,0.4403846153846154,0.4497001499250375,0.3353513152229099,0.299800099950025,0.712510091108292,8.295360803604126,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
15,15856,1026,0.39278752436647174,0.34962393852627444,0.3438785697506628,0.34962393852627444,0.6793709233327813,7.202887296676636,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
16,16419,463,0.31101511879049676,0.3005878321049566,0.3016538274453909,0.3005878321049566,0.6560342084951044,8.40542221069336,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
17,16633,249,0.3132530120481928,0.46831342590638586,0.3082842819539424,0.46831342590638586,0.6607864932699897,7.479511976242065,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
18,16814,68,0.08823529411764706,0.3548387096774193,0.07292436560729244,0.3548387096774193,0.6829229797979798,7.4911298751831055,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
20,16523,359,0.40668523676880225,0.3978300881526688,0.381647782371255,0.3978300881526688,0.6997550010383327,7.347065448760986,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
21,16452,430,0.38372093023255816,0.2840337231641579,0.30411814194794773,0.2840337231641579,0.6999487764898724,8.338853359222412,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
22,16855,27,0.0,0.0,0.0,0.0,0.6373456790123456,8.592231750488281,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
23,16555,327,0.3180428134556575,0.2685347105043377,0.2505008457326338,0.2685347105043377,0.6215184655422452,7.291282653808594,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
24,16816,66,0.09090909090909091,0.3026634382566586,0.08689857390377183,0.20177562550443906,0.6789933230611197,7.571714162826538,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
25,16493,389,0.390745501285347,0.2998866213151927,0.30798059964726626,0.2998866213151927,0.6924742031155606,7.61137318611145,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
26,16817,65,0.4153846153846154,0.4020397208803006,0.4061554616596245,0.4020397208803006,0.7149874686716792,8.676185846328735,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
27,16813,69,0.5652173913043478,0.5339366515837104,0.5304307442238477,0.5339366515837104,0.7768336314847942,8.572076559066772,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
28,16807,75,0.3333333333333333,0.3308641975308642,0.32597963002362135,0.3308641975308642,0.6785087719298245,7.358980417251587,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
29,16832,50,0.34,0.3088888888888889,0.29766421473738547,0.3088888888888889,0.6626190476190477,7.52783203125,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
31,16810,72,0.3611111111111111,0.3703703703703704,0.35819735819735815,0.3703703703703704,0.6864197530864198,7.555278778076172,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
