participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.3796369376479874,0.43019220593591306,0.37061575363351906,0.43019220593591306,0.6989886033042629,0.05860567092895508,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
2,15983,899,0.4271412680756396,0.43475833900612665,0.4224141843305713,0.43475833900612665,0.7148057251566033,0.0669851303100586,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
3,15600,1282,0.3377535101404056,0.3300651556767866,0.3241912397159558,0.3300651556767866,0.6653965066451665,0.06767582893371582,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
4,15848,1034,0.3114119922630561,0.37218532501777185,0.3092041675990374,0.37218532501777185,0.6745949471500925,0.050782203674316406,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
5,15281,1601,0.39225484072454714,0.4566636772797375,0.38572060842142375,0.4566636772797375,0.7239159256918754,0.05658698081970215,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
6,15983,899,0.3882091212458287,0.2691231343283582,0.27399814362204467,0.2691231343283582,0.6430004241789155,0.060849666595458984,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
7,15744,1138,0.3101933216168717,0.3494210977245101,0.2908437833332738,0.3494210977245101,0.6688210654043963,0.0558164119720459,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
8,15709,1173,0.3793691389599318,0.3785519007600097,0.3559827569671114,0.3785519007600097,0.6973671344204345,0.051033735275268555,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
9,16745,137,0.38686131386861317,0.3099616858237548,0.2029271038558964,0.3099616858237548,0.653298631649513,0.060080766677856445,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
10,16782,100,0.39,0.39,0.1870503597122302,0.13,0.4633333333333334,0.06324005126953125,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
11,16736,146,0.3767123287671233,0.23706896551724138,0.1929824561403509,0.15804597701149425,0.6162389125072166,0.06686043739318848,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
12,15491,1391,0.44069015097052483,0.46566940150943625,0.43786332219534924,0.46566940150943625,0.7138195893692357,0.053128957748413086,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
13,15322,1560,0.4512820512820513,0.46681777828298965,0.4383075932146074,0.46681777828298965,0.7265504328212399,0.06369853019714355,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
14,16362,520,0.48653846153846153,0.5036731634182908,0.36832986832986836,0.33578210894552724,0.7428862491831008,0.051136016845703125,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
15,15856,1026,0.3791423001949318,0.3325911517910139,0.32244761783176656,0.3325911517910139,0.670755210132694,0.052312612533569336,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
16,16419,463,0.2591792656587473,0.2803948059924524,0.2512383675504646,0.2803948059924524,0.647094583004753,0.05297231674194336,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
17,16633,249,0.2248995983935743,0.16603356828317786,0.16165404386044954,0.16603356828317786,0.5046986400048089,0.06350421905517578,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
18,16814,68,0.19117647058823528,0.7043010752688171,0.18749817010686576,0.7043010752688171,0.7163825757575758,0.06372666358947754,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
20,16523,359,0.5793871866295265,0.5572023636539766,0.5352462487881938,0.5572023636539766,0.7851118942200536,0.053458452224731445,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
21,16452,430,0.413953488372093,0.3117788596049466,0.30407303242295597,0.3117788596049466,0.6526943566327129,0.0491025447845459,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
22,16855,27,0.2222222222222222,0.375,0.2857142857142857,0.25,0.7407407407407408,0.06902241706848145,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
23,16555,327,0.2599388379204893,0.20682449591791516,0.20638144773495326,0.20682449591791516,0.584793491864831,0.06575274467468262,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
24,16816,66,0.10606060606060606,0.5,0.11965811965811966,0.3333333333333333,0.6870398904297209,0.06407332420349121,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
25,16493,389,0.4190231362467866,0.30385487528344673,0.2984907984907985,0.30385487528344673,0.6412158203645117,0.05992937088012695,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
26,16817,65,0.46153846153846156,0.41932367149758454,0.4282656350741458,0.41932367149758454,0.737092731829574,0.05063223838806152,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
27,16813,69,0.5507246376811594,0.5007541478129713,0.48224979321753514,0.5007541478129713,0.7690816935002981,0.07593584060668945,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
28,16807,75,0.30666666666666664,0.3074074074074074,0.2998357963875205,0.3074074074074074,0.6657163742690058,0.06199908256530762,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
29,16832,50,0.32,0.29777777777777775,0.30258932841429254,0.29777777777777775,0.6516666666666667,0.06444644927978516,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
31,16810,72,0.3333333333333333,0.3333333333333333,0.32857142857142857,0.3333333333333333,0.6641975308641975,0.0742497444152832,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
