participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.48303078137332284,0.4652591869411091,0.4621739099706363,0.4652591869411091,0.7443066495316804,1.5024757385253906,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
2,15983,899,0.39265850945494996,0.39492701005975345,0.3885924918406983,0.39492701005975345,0.6973365544158415,1.5351340770721436,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
3,15600,1282,0.36427457098283933,0.36373976773885675,0.360267575650558,0.36373976773885675,0.6801016703233908,1.3874261379241943,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
4,15848,1034,0.41876208897485495,0.4170404743011125,0.40262168840224694,0.4170404743011125,0.7241337332387768,1.5076885223388672,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
5,15281,1601,0.3266708307307932,0.3584002570305207,0.3174102076382883,0.3584002570305207,0.6796685258709033,1.457634449005127,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
6,15983,899,0.3259176863181313,0.22907412343046674,0.2420348058902276,0.22907412343046674,0.6172963471013464,1.4916596412658691,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
7,15744,1138,0.37170474516695956,0.36603718483089276,0.3638755985888058,0.36603718483089276,0.6852546546029865,1.4651989936828613,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
8,15709,1173,0.319693094629156,0.3268747421457519,0.3092865816223364,0.3268747421457519,0.6620688299011673,1.489142656326294,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
9,16745,137,0.5547445255474452,0.5717647978731722,0.5339262371093706,0.5717647978731722,0.7752967388303955,1.580798864364624,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
10,16782,100,0.45,0.45,0.20689655172413793,0.15,0.48333333333333334,1.574690341949463,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
11,16736,146,0.4931506849315068,0.4462643678160919,0.36712866964967805,0.2975095785440613,0.7380465018632236,1.5334103107452393,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
12,15491,1391,0.42559309849029475,0.44316436161687195,0.42786622367791666,0.44316436161687195,0.708334054681027,1.4197118282318115,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
13,15322,1560,0.36025641025641025,0.369557746054265,0.3606096786338598,0.369557746054265,0.676468025618127,1.4816279411315918,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
14,16362,520,0.4653846153846154,0.4761619190404798,0.36180278008194455,0.31744127936031985,0.7419098143236075,1.5329475402832031,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
15,15856,1026,0.391812865497076,0.3597531833954388,0.3589389171374841,0.3597531833954388,0.6805688756510113,1.5127367973327637,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
16,16419,463,0.41252699784017277,0.3976644220297343,0.40107831699203095,0.3976644220297343,0.7030418387683182,1.535994052886963,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
17,16633,249,0.3493975903614458,0.37614485291014227,0.3012419831008857,0.37614485291014227,0.6939085499067289,1.5427091121673584,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
18,16814,68,0.16176470588235295,0.05913978494623656,0.1004566210045662,0.05913978494623656,0.7089646464646465,1.594980001449585,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
20,16523,359,0.47075208913649025,0.44783493170589944,0.4348575065002609,0.44783493170589944,0.7292137285021535,1.5704686641693115,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
21,16452,430,0.42093023255813955,0.30348796000969913,0.32044035010758076,0.30348796000969913,0.7222066112477071,1.565164566040039,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
22,16855,27,0.037037037037037035,0.0625,0.07407407407407407,0.041666666666666664,0.6790123456790124,1.5761237144470215,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
23,16555,327,0.2691131498470948,0.3140222597194526,0.2675591448700692,0.3140222597194526,0.6300931720205812,1.5303623676300049,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
24,16816,66,0.3333333333333333,0.43825665859564167,0.2151034151034151,0.29217110573042776,0.7574045540147235,1.5653462409973145,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
25,16493,389,0.46272493573264784,0.4803133374561946,0.37821644122562414,0.4803133374561946,0.719815172417991,1.615722894668579,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
26,16817,65,0.3076923076923077,0.29930220075147607,0.3,0.29930220075147607,0.6586633249791145,1.5722885131835938,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
27,16813,69,0.463768115942029,0.4306184012066365,0.425,0.4306184012066365,0.7265951103160405,1.6031410694122314,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
28,16807,75,0.32,0.32962962962962966,0.3203071083505866,0.32962962962962966,0.6673489278752437,1.6051356792449951,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
29,16832,50,0.32,0.27777777777777773,0.27744107744107743,0.27777777777777773,0.6526190476190475,1.5680885314941406,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
31,16810,72,0.4305555555555556,0.46296296296296297,0.42576832151300237,0.46296296296296297,0.7222222222222222,1.554290533065796,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
