participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.47592738752959746,0.4964273688529981,0.4727881641432827,0.4964273688529981,0.7482158243409783,24.785077571868896,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
2,15983,899,0.41045606229143494,0.40039028817789885,0.3463430287863551,0.40039028817789885,0.6962960365917761,19.958575010299683,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
3,15600,1282,0.35179407176287053,0.3446342445848966,0.33851098016044895,0.3446342445848966,0.6723392016415385,23.849883794784546,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
4,15848,1034,0.4158607350096712,0.43620702731075073,0.37982860271320296,0.43620702731075073,0.7208832459936906,23.44194769859314,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
5,15281,1601,0.35165521549031853,0.3896824121872417,0.34576309558089585,0.3896824121872417,0.7044968811169853,21.435520887374878,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
6,15983,899,0.3581757508342603,0.24724591329068943,0.25301013570657194,0.24724591329068943,0.6314983715606101,22.52814507484436,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
7,15744,1138,0.36994727592267135,0.4010613482554164,0.3663386503315542,0.4010613482554164,0.7005773153303573,24.069920301437378,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
8,15709,1173,0.3273657289002558,0.3509105894800984,0.32942678456394076,0.3509105894800984,0.6855417900448894,21.6742160320282,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
9,16745,137,0.34306569343065696,0.2881460630229103,0.2731342184328583,0.2881460630229103,0.6555230526010131,26.7639639377594,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
10,16782,100,0.39,0.39,0.1870503597122302,0.13,0.4633333333333334,26.576279878616333,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
11,16736,146,0.3767123287671233,0.23706896551724138,0.1929824561403509,0.15804597701149425,0.6239148690494936,25.510794639587402,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
12,15491,1391,0.49388928828181167,0.506970254633806,0.4939461093564572,0.506970254633806,0.7390607041091931,20.72534155845642,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
13,15322,1560,0.4717948717948718,0.4864894074272674,0.4670363185311495,0.4864894074272674,0.7391408201210968,21.571739196777344,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
14,16362,520,0.48653846153846153,0.5045727136431783,0.3630727092801298,0.33638180909545223,0.7352862030523201,25.521087408065796,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
15,15856,1026,0.3791423001949318,0.33427347522755585,0.32782221337338013,0.33427347522755585,0.6736556751093156,22.24874758720398,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
16,16419,463,0.28725701943844495,0.29252383937390775,0.28769573422919903,0.29252383937390775,0.6557259080914435,26.590883016586304,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
17,16633,249,0.2891566265060241,0.3915607985480944,0.2902684183059923,0.3915607985480944,0.6153830917545919,25.86300754547119,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
18,16814,68,0.04411764705882353,0.016129032258064516,0.03076923076923077,0.016129032258064516,0.6658775252525252,25.98125910758972,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
20,16523,359,0.5515320334261838,0.528024798992541,0.49198147344044,0.528024798992541,0.771057149515154,25.996233701705933,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
21,16452,430,0.3813953488372093,0.3177550221028482,0.32534026213823103,0.3177550221028482,0.6902860711079889,24.372119426727295,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
22,16855,27,0.037037037037037035,0.0625,0.07407407407407407,0.041666666666666664,0.6790123456790124,26.529194831848145,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
23,16555,327,0.3180428134556575,0.26261014811405975,0.25115293412408574,0.26261014811405975,0.6268972127858236,25.987980127334595,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
24,16816,66,0.10606060606060606,0.5,0.08484848484848484,0.3333333333333333,0.6774524910118132,26.110676765441895,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
25,16493,389,0.41131105398457585,0.5921459492888065,0.348186844432294,0.5921459492888065,0.7675013276968986,25.96466302871704,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
26,16817,65,0.47692307692307695,0.4295222758990875,0.4266423748794341,0.4295222758990875,0.7391478696741854,26.72940993309021,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
27,16813,69,0.5797101449275363,0.5331825037707391,0.5212241521918942,0.5331825037707391,0.7832438878950506,26.14935803413391,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
28,16807,75,0.3466666666666667,0.33456790123456787,0.33411952278849855,0.33456790123456787,0.6790448343079921,25.721402645111084,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
29,16832,50,0.34,0.3111111111111111,0.3232927279438907,0.3111111111111111,0.6588095238095238,26.00801944732666,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
31,16810,72,0.3194444444444444,0.3333333333333333,0.31858156028368795,0.3333333333333333,0.662962962962963,25.847476482391357,"hr_rmssd, hr_pnn50, hr_sdsd, hr_sampen"
