participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.5422257300710339,0.4348772194882035,0.4061077028624418,0.4348772194882035,0.7602540903404035,0.103485107421875,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
2,15983,899,0.3047830923248053,0.2728711897738446,0.1927794990990456,0.2728711897738446,0.6332616626613076,0.10183548927307129,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
3,15600,1282,0.48985959438377535,0.5176783767327925,0.4002500843843014,0.5176783767327925,0.7521595530110804,0.08512639999389648,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
4,15848,1034,0.528046421663443,0.4529683082874572,0.388822909624649,0.4529683082874572,0.7432791943520197,0.08729124069213867,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
5,15281,1601,0.6995627732667083,0.5313117669291728,0.5004436254436254,0.5313117669291728,0.8158473496934127,0.07529139518737793,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
6,15983,899,0.39377085650723026,0.29568833130267036,0.2841874386175176,0.29568833130267036,0.6243982393557029,0.09711337089538574,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
7,15744,1138,0.4991212653778559,0.45727882159204364,0.43769266117160227,0.45727882159204364,0.7375341689312407,0.08515810966491699,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
8,15709,1173,0.42028985507246375,0.48985106624711133,0.41520237078574995,0.48985106624711133,0.7273130467300252,0.08751916885375977,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
9,16745,137,0.5109489051094891,0.42244116037219487,0.36986986986986986,0.42244116037219487,0.7278082194236223,0.0866079330444336,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
10,16782,100,0.64,0.64,0.2601626016260163,0.21333333333333335,0.5466666666666667,0.08622932434082031,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
