participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.5540647198105761,0.447637282591516,0.4204374699887745,0.447637282591516,0.7641254056944562,11.396732568740845,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
2,15983,899,0.2413793103448276,0.22006429165721197,0.18285555417607102,0.22006429165721197,0.605089667417726,10.725394248962402,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
3,15600,1282,0.49297971918876754,0.5175128288325092,0.43493238631065734,0.5175128288325092,0.7512695303432407,10.449399948120117,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
4,15848,1034,0.5367504835589942,0.4694713604952967,0.45839519017856406,0.4694713604952967,0.7567791729104777,10.64669919013977,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
5,15281,1601,0.6995627732667083,0.5531894380860992,0.5506883534678928,0.5531894380860992,0.8221182560063812,10.476961135864258,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
6,15983,899,0.44938820912124583,0.3885832318001828,0.3031634983741496,0.3885832318001828,0.6689218656139261,10.899690628051758,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
7,15744,1138,0.484182776801406,0.4361937927741771,0.4109437680997736,0.4361937927741771,0.7305877969991116,10.781761646270752,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
8,15709,1173,0.37169650468883203,0.461423803980299,0.3208186364463061,0.461423803980299,0.7099061811618155,10.596160173416138,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
9,16745,137,0.5547445255474452,0.4911330049261084,0.4804462605667425,0.4911330049261084,0.7614756640102671,11.244160413742065,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
10,16782,100,0.37,0.37,0.18004866180048662,0.12333333333333334,0.4566666666666667,11.26064944267273,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
11,16736,146,0.2191780821917808,0.4344827586206897,0.23678861788617886,0.2896551724137931,0.6878811735684668,11.18097972869873,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
12,15491,1391,0.516175413371675,0.538975066599496,0.4809424922338428,0.538975066599496,0.7741325161523765,9.981553554534912,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
13,15322,1560,0.40192307692307694,0.3737518822991596,0.319749796346527,0.3737518822991596,0.6958886469890802,10.604722499847412,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
14,16362,520,0.3557692307692308,0.3473013493253373,0.25160356452306204,0.2315342328835582,0.6093722369584439,11.120743989944458,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
15,15856,1026,0.3060428849902534,0.3675178263825085,0.2709120743579578,0.3675178263825085,0.67614452377915,10.549047231674194,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
16,16419,463,0.32397408207343414,0.2749407181571815,0.2471075378650587,0.2749407181571815,0.6394413721484927,11.093088150024414,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
17,16633,249,0.7228915662650602,0.47368421052631576,0.4574525745257452,0.47368421052631576,0.7099378881987577,11.435909748077393,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
18,16814,68,0.22058823529411764,0.6370967741935484,0.3164814336176445,0.6370967741935484,0.6813446969696969,11.16234040260315,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
20,16523,359,0.5682451253481894,0.5409280247989926,0.511114071970705,0.5409280247989926,0.7871079105099877,11.044718265533447,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
21,16452,430,0.4186046511627907,0.5119616510920859,0.4052872944569801,0.5119616510920859,0.7598339382585958,11.031682252883911,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
22,16855,27,0.4444444444444444,0.6052631578947368,0.4319775596072931,0.6052631578947368,0.6052631578947368,11.086951971054077,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
23,16555,327,0.4740061162079511,0.4690392186940737,0.429354689578964,0.4690392186940737,0.727643184933548,11.303874969482422,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
24,16816,66,0.19696969696969696,0.11016949152542373,0.12037037037037036,0.07344632768361582,0.731724019859613,11.745271682739258,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
25,16493,389,0.5784061696658098,0.25510204081632654,0.2617801047120419,0.25510204081632654,0.7063484454913849,10.961653232574463,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
26,16817,65,0.49230769230769234,0.515727321524423,0.4394121123626755,0.515727321524423,0.7593149540517962,11.064185619354248,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
27,16813,69,0.3188405797101449,0.38386123680241324,0.2660865109667609,0.38386123680241324,0.6826177698270722,11.303171634674072,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
28,16807,75,0.32,0.29876543209876544,0.2747668997668998,0.29876543209876544,0.6703947368421054,11.25125241279602,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
29,16832,50,0.36,0.43555555555555553,0.3158381197596884,0.43555555555555553,0.7009523809523809,11.491873502731323,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
31,16810,72,0.4861111111111111,0.5,0.40136752136752135,0.5,0.7382716049382716,11.392998218536377,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
