participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.6353591160220995,0.5272506079142235,0.5060655921091344,0.5272506079142235,0.7990747544230898,0.06285929679870605,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
2,15983,899,0.3325917686318131,0.3065055593374178,0.24677509566744193,0.3065055593374178,0.6579021507390973,0.07805895805358887,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
3,15600,1282,0.5639625585023401,0.5850622469143167,0.5350290023982969,0.5850622469143167,0.7847153008883163,0.07295727729797363,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
4,15848,1034,0.49032882011605416,0.44062532030617135,0.4353358904094407,0.44062532030617135,0.7348386367297075,0.08900213241577148,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
5,15281,1601,0.6502186133666459,0.5472907360724298,0.5520281150407811,0.5472907360724298,0.8172513935096548,0.06968855857849121,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
6,15983,899,0.44160177975528364,0.38286405980302574,0.3075299402442424,0.38286405980302574,0.6616763368787132,0.05971789360046387,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
7,15744,1138,0.5017574692442882,0.49089302776195654,0.44910083905637466,0.49089302776195654,0.7522389152857323,0.08179330825805664,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
8,15709,1173,0.35805626598465473,0.4178333837036729,0.3573230394891487,0.4178333837036729,0.6838571045696066,0.07365250587463379,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
9,16745,137,0.38686131386861317,0.3484791617796544,0.3186730230297515,0.3484791617796544,0.6746076343704405,0.08267664909362793,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
10,16782,100,0.73,0.73,0.2813102119460501,0.24333333333333332,0.5766666666666667,0.11492323875427246,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
11,16736,146,0.363013698630137,0.5126436781609196,0.3281601439496176,0.34176245210727974,0.7199417414580381,0.08205199241638184,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
12,15491,1391,0.5650611071171819,0.6125121737379943,0.5231624893639611,0.6125121737379943,0.797361764825336,0.06076240539550781,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
13,15322,1560,0.22756410256410256,0.22476267996373048,0.19379628818290592,0.22476267996373048,0.618777444030597,0.0859527587890625,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
14,16362,520,0.45384615384615384,0.4370314842578711,0.3027347217977267,0.2913543228385807,0.6515155883596663,0.09174251556396484,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
15,15856,1026,0.3284600389863548,0.40333669964025126,0.3106367248687871,0.40333669964025126,0.6886442647085874,0.08353185653686523,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
16,16419,463,0.4319654427645788,0.36233909214092136,0.3255874774047152,0.36233909214092136,0.6917729390175792,0.06618189811706543,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
