participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.39936858721389107,0.35487293439238515,0.3721459268543829,0.35487293439238515,0.7080686279514886,1.8263814449310303,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
2,15983,899,0.3325917686318131,0.3123871114136601,0.2880005386951339,0.3123871114136601,0.6576169811797267,1.8308815956115723,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
3,15600,1282,0.5046801872074883,0.5204060457671406,0.49136328943230856,0.5204060457671406,0.7548534177169396,1.8301341533660889,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
4,15848,1034,0.47292069632495165,0.43840997950040506,0.43227970721772496,0.43840997950040506,0.7325153965511646,1.7840607166290283,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
5,15281,1601,0.532792004996877,0.45516031269561547,0.4594354819138724,0.45516031269561547,0.7589807605393627,1.7238118648529053,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
6,15983,899,0.41601779755283647,0.30458200071073205,0.2530978293190604,0.30458200071073205,0.6410612870737752,1.770658254623413,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
7,15744,1138,0.47363796133567665,0.4456453291948474,0.44440446524576105,0.4456453291948474,0.7326050318798735,1.824937343597412,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
8,15709,1173,0.39641943734015345,0.4802737285678292,0.3559619244332339,0.4802737285678292,0.719628488612908,1.7539730072021484,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
9,16745,137,0.5255474452554745,0.43279380717804367,0.3878481012658228,0.43279380717804367,0.7413362299201646,1.9425573348999023,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
10,16782,100,0.46,0.46,0.2100456621004566,0.15333333333333335,0.48666666666666664,1.9866900444030762,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
11,16736,146,0.19863013698630136,0.42155172413793107,0.21057471264367814,0.2810344827586207,0.678079567522175,1.9287793636322021,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
12,15491,1391,0.4414090582314881,0.4423952750838211,0.43033533133019164,0.4423952750838211,0.730011670790314,1.7313177585601807,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
13,15322,1560,0.3544871794871795,0.33530672687636365,0.30129656079035383,0.33530672687636365,0.6773649600971403,1.727935791015625,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
14,16362,520,0.3576923076923077,0.35307346326836586,0.25457907051834944,0.23538230884557723,0.6076538653750049,1.8313567638397217,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
15,15856,1026,0.341130604288499,0.399520171573184,0.33095444936690116,0.399520171573184,0.6829323219970206,1.7581989765167236,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
16,16419,463,0.36285097192224625,0.3127117208672087,0.2785206906140196,0.3127117208672087,0.6568941100894982,1.8497357368469238,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
17,16633,249,0.5582329317269076,0.37862097103223175,0.407103825136612,0.37862097103223175,0.6484239487654011,1.877897024154663,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
18,16814,68,0.5588235294117647,0.4381720430107527,0.4856902356902357,0.4381720430107527,0.7473169191919192,1.9633815288543701,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
20,16523,359,0.5403899721448467,0.5203913591010365,0.5100996598265765,0.5203913591010365,0.7764865991671145,1.8994359970092773,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
21,16452,430,0.3395348837209302,0.32189953929084364,0.32980384892913317,0.32189953929084364,0.7135337392186707,1.835444688796997,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
22,16855,27,0.5555555555555556,0.6842105263157895,0.554945054945055,0.6842105263157895,0.6842105263157895,1.9007480144500732,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
23,16555,327,0.37003058103975534,0.37609381125257796,0.31825382271461755,0.37609381125257796,0.6826861950453941,1.9553382396697998,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
24,16816,66,0.15151515151515152,0.0847457627118644,0.0966183574879227,0.05649717514124294,0.7105803800719056,1.9272661209106445,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
25,16493,389,0.5681233933161953,0.34410430839002265,0.3556871829457819,0.34410430839002265,0.763195328941662,1.8959465026855469,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
26,16817,65,0.5692307692307692,0.5598497047772409,0.48514368301518473,0.5598497047772409,0.7947869674185464,1.888399600982666,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
27,16813,69,0.36231884057971014,0.3951734539969835,0.3327128404198164,0.3951734539969835,0.6991651759093619,1.9225130081176758,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
28,16807,75,0.25333333333333335,0.2506172839506173,0.2391663891663892,0.2506172839506173,0.6412768031189083,1.941770076751709,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
29,16832,50,0.28,0.3244444444444444,0.23618851049191605,0.3244444444444444,0.6502380952380952,1.9486298561096191,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
31,16810,72,0.5277777777777778,0.5370370370370371,0.47276659893819234,0.5370370370370371,0.7592592592592592,1.9678738117218018,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
