participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.6771902131018153,0.5636896294791032,0.5343930999748174,0.5636896294791032,0.8170678336368842,17.87890601158142,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
2,15983,899,0.31590656284760843,0.28535436048710383,0.21050055496145106,0.28535436048710383,0.643191357692933,17.51908802986145,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
3,15600,1282,0.4984399375975039,0.5264715460968806,0.4116887862902085,0.5264715460968806,0.7564823515050733,20.192304849624634,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
4,15848,1034,0.5009671179883946,0.45122657631966145,0.4357562629347866,0.45122657631966145,0.7402046307860081,18.157230615615845,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
5,15281,1601,0.6789506558401,0.5309701107147818,0.5285733291046469,0.5309701107147818,0.8179912702088009,16.301472187042236,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
6,15983,899,0.44271412680756395,0.34196365113209465,0.23221605623381428,0.34196365113209465,0.6630360065702682,16.85210371017456,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
7,15744,1138,0.515817223198594,0.4858078805025714,0.47960267241933513,0.4858078805025714,0.7553902803649701,16.625235319137573,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
8,15709,1173,0.38277919863597615,0.45951149353062976,0.36522618249191025,0.45951149353062976,0.7032105936982002,15.764167785644531,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
9,16745,137,0.40875912408759124,0.35710376104464775,0.330249433106576,0.35710376104464775,0.6814534198007521,20.16769576072693,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
10,16782,100,0.73,0.73,0.2813102119460501,0.24333333333333332,0.5766666666666667,20.222198486328125,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
11,16736,146,0.2945205479452055,0.5313218390804598,0.26185463659147873,0.3542145593869732,0.7223849262583321,18.821925163269043,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
12,15491,1391,0.5226455787203451,0.5814489062913318,0.47555556542536537,0.5814489062913318,0.7814464040031174,14.902039289474487,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
13,15322,1560,0.24358974358974358,0.23228643423841247,0.21364833061654107,0.23228643423841247,0.618513651656061,15.851345777511597,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
14,16362,520,0.4576923076923077,0.4278860569715143,0.27816513186744346,0.28525737131434287,0.6424854880252182,17.475239515304565,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
15,15856,1026,0.3742690058479532,0.4338813273530217,0.37173468060915654,0.4338813273530217,0.7101351037023002,16.3342387676239,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
16,16419,463,0.4146868250539957,0.34311483739837395,0.2855917667238422,0.34311483739837395,0.6754428282323484,18.23309826850891,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
17,16633,249,0.7228915662650602,0.48130249440763095,0.4904556650246305,0.48130249440763095,0.7145136447890831,19.109660625457764,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
18,16814,68,0.1323529411764706,0.6048387096774194,0.2623998650813728,0.6048387096774194,0.6510416666666666,18.955957174301147,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
20,16523,359,0.6072423398328691,0.5806451612903225,0.5276373888427336,0.5806451612903225,0.8050383707529418,18.405573844909668,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
21,16452,430,0.24651162790697675,0.40018279148713937,0.2194628889855328,0.40018279148713937,0.6936575537602936,18.155147790908813,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
22,16855,27,0.3333333333333333,0.4901315789473684,0.30965909090909094,0.4901315789473684,0.4901315789473684,19.73328185081482,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
23,16555,327,0.41590214067278286,0.3589371239624346,0.3241271829489282,0.3589371239624346,0.7246185708325884,18.854750871658325,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
24,16816,66,0.18181818181818182,0.1016949152542373,0.10810810810810811,0.06779661016949153,0.5977694621762418,19.864859580993652,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
25,16493,389,0.5167095115681234,0.23639455782312924,0.2518559055867517,0.23639455782312924,0.6602529395741935,19.336994886398315,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
26,16817,65,0.5538461538461539,0.5256038647342995,0.4379979674796748,0.5256038647342995,0.784344193817878,19.36711072921753,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
27,16813,69,0.37681159420289856,0.42835595776772245,0.37027417027417026,0.42835595776772245,0.6908169350029815,19.019657850265503,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
28,16807,75,0.44,0.40864197530864194,0.37730016462410826,0.40864197530864194,0.7234892787524366,20.101033449172974,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
29,16832,50,0.44,0.54,0.4222222222222222,0.54,0.7411904761904763,19.53721284866333,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
31,16810,72,0.5277777777777778,0.5246913580246914,0.4514566395663957,0.5246913580246914,0.754320987654321,19.121286392211914,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
