participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.5887924230465666,0.47937214756436725,0.4539209868061455,0.47937214756436725,0.7785150154909711,0.8799121379852295,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
2,15983,899,0.2413793103448276,0.22002269117313367,0.18179689685041722,0.22002269117313367,0.6044077579929586,304.06476497650146,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
3,15600,1282,0.48517940717628705,0.5123875923731676,0.4026191461795808,0.5123875923731676,0.7495835943555688,3.942316770553589,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
4,15848,1034,0.5454545454545454,0.47032242432508387,0.4621927913708757,0.47032242432508387,0.7580944392048946,3.5252060890197754,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
5,15281,1601,0.674578388507183,0.5298403632453542,0.5246436503626183,0.5298403632453542,0.8095219737715184,297.76977920532227,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
6,15983,899,0.45050055617352613,0.3895826987511422,0.3005258090794638,0.3895826987511422,0.6700030013566902,0.8951830863952637,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
7,15744,1138,0.5123022847100176,0.45315659226720095,0.39402356036814257,0.45315659226720095,0.740009000517352,301.7715103626251,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
8,15709,1173,0.3793691389599318,0.4691095463951695,0.332377048840986,0.4691095463951695,0.7143143915373806,5.335177659988403,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
9,16745,137,0.4744525547445255,0.4076862929079678,0.3781453064317514,0.4076862929079678,0.7154936923953841,1.4508516788482666,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
10,16782,100,0.36,0.36,0.17647058823529413,0.12,0.4533333333333333,302.1501750946045,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
11,16736,146,0.1780821917808219,0.40862068965517245,0.19283746556473827,0.2724137931034483,0.6794678003464022,1.9043424129486084,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
12,15491,1391,0.49245147375988496,0.5599992205078056,0.4191285442521968,0.5599992205078056,0.7715645662252566,300.4320740699768,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
13,15322,1560,0.3903846153846154,0.3647480333341715,0.30016968641748454,0.3647480333341715,0.6897105456502929,1.4396154880523682,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
14,16362,520,0.35384615384615387,0.3406296851574213,0.2441210441210441,0.2270864567716142,0.6081315111674931,3.0838510990142822,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
15,15856,1026,0.3157894736842105,0.389711268205434,0.2785829998173969,0.389711268205434,0.6856458248290606,298.2599754333496,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
16,16419,463,0.31533477321814257,0.26947831978319786,0.251664828206071,0.26947831978319786,0.6427505517398565,0.9026675224304199,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
17,16633,249,0.7228915662650602,0.47368421052631576,0.475174124891639,0.47368421052631576,0.7012987012987013,302.45229840278625,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
18,16814,68,0.08823529411764706,0.5887096774193549,0.2140927719821162,0.5887096774193549,0.6357323232323232,4.9561028480529785,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
20,16523,359,0.5515320334261838,0.5210113339145598,0.5126646687894113,0.5210113339145598,0.7787592399721631,1.1990165710449219,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
21,16452,430,0.30930232558139537,0.2586853934680022,0.29744792238865575,0.2586853934680022,0.7027309448542326,301.5481560230255,"hr_slope, hr_start, hr_end, hr_second_derivative, hr_macd_mean"
