participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.4617205998421468,0.48117110245256695,0.45367708299533566,0.48117110245256695,0.7394123350504361,0.1019282341003418,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
2,15983,899,0.3781979977753059,0.36804553362075487,0.3647344726258474,0.36804553362075487,0.6902277294509654,0.08838510513305664,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
3,15600,1282,0.5039001560062403,0.4942348056702642,0.47390096718768165,0.4942348056702642,0.749320378678426,0.07085108757019043,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
4,15848,1034,0.42940038684719534,0.46164409024781367,0.4059400703348232,0.46164409024781367,0.7343947979952387,0.08106637001037598,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
5,15281,1601,0.2660836976889444,0.3631825137840828,0.270232361007482,0.3631825137840828,0.6195197624441271,0.08082818984985352,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
6,15983,899,0.27697441601779754,0.48324967424780857,0.2435342120495367,0.48324967424780857,0.707882377959772,0.08037900924682617,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
7,15744,1138,0.45957820738137084,0.4348693959695435,0.41512553607723063,0.4348693959695435,0.7207294007860909,0.08293318748474121,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
8,15709,1173,0.36828644501278773,0.34406821819572825,0.3440160692965071,0.34406821819572825,0.6825460219727334,0.09174108505249023,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
9,16745,137,0.41605839416058393,0.37931034482758624,0.26854754440961337,0.37931034482758624,0.6996601529311809,0.07189655303955078,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
10,16782,100,0.17,0.17,0.1452991452991453,0.085,0.085,0.07200193405151367,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
11,16736,146,0.3082191780821918,0.5152298850574712,0.2736928104575163,0.34348659003831417,0.7369600587833937,0.08188104629516602,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
12,15491,1391,0.3580158159597412,0.4079975899145645,0.3583223851228812,0.4079975899145645,0.6861487157754708,0.08219027519226074,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
13,15322,1560,0.4115384615384615,0.4075351416055626,0.40330103156459335,0.4075351416055626,0.7100543474232776,0.09092283248901367,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
14,16362,520,0.4,0.3586206896551724,0.19286045433472418,0.23908045977011494,0.6086668204359359,0.07469797134399414,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
15,15856,1026,0.31968810916179335,0.4037053144922012,0.2733798694229597,0.4037053144922012,0.7002959571287577,0.07600903511047363,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
16,16419,463,0.4146868250539957,0.3428184281842819,0.2777606574216744,0.3428184281842819,0.6720742534357815,0.09508705139160156,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
17,16633,249,0.40562248995983935,0.2875251480746775,0.3431054360978852,0.2875251480746775,0.7177143290733093,0.08271193504333496,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
18,16814,68,0.029411764705882353,0.3333333333333333,0.037037037037037035,0.3333333333333333,0.45991161616161613,0.07203912734985352,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
20,16523,359,0.5125348189415042,0.47707061900610287,0.4825035390500286,0.47707061900610287,0.7435542128566196,0.07181310653686523,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
21,16452,430,0.5069767441860465,0.5137932964019921,0.5118666385140088,0.5137932964019921,0.7248053506615152,0.07184934616088867,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
22,16855,27,0.9629629629629629,0.9375,0.9538461538461538,0.9375,0.9375,0.07238435745239258,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
23,16555,327,0.636085626911315,0.4988358814405754,0.4951186498303248,0.4988358814405754,0.8094244790114627,0.07163882255554199,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
24,16816,66,0.8939393939393939,0.5,0.472,0.5,0.5,0.07247233390808105,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
25,16493,389,0.45758354755784064,0.31802721088435376,0.340168003054601,0.31802721088435376,0.6604699362248975,0.07174396514892578,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
26,16817,65,0.6461538461538462,0.6366076221148685,0.6170529503862837,0.6366076221148685,0.8318964076858814,0.07175111770629883,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
27,16813,69,0.4782608695652174,0.4705882352941176,0.38886293077490164,0.4705882352941176,0.7276386404293381,0.07170677185058594,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
28,16807,75,0.52,0.5604938271604938,0.5068795109857792,0.5604938271604938,0.7740009746588693,0.07219719886779785,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
29,16832,50,0.3,0.3333333333333333,0.15384615384615385,0.3333333333333333,0.6666666666666666,0.07397055625915527,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
31,16810,72,0.5833333333333334,0.5617283950617283,0.5678181216201302,0.5617283950617283,0.7975308641975308,0.08503103256225586,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
