participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.489344909234412,0.4544868094639262,0.4473235226195566,0.4544868094639262,0.7281687281070758,8.8998441696167,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
2,15983,899,0.3414905450500556,0.3326601618637017,0.3328861225202689,0.3326601618637017,0.6707777487903991,14.964828968048096,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
3,15600,1282,0.3876755070202808,0.39308151373746303,0.3639787077729295,0.39308151373746303,0.6960509723149291,9.416179418563843,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
4,15848,1034,0.4332688588007737,0.43143077667013835,0.3923764900294602,0.43143077667013835,0.7261439569263665,8.33070421218872,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
5,15281,1601,0.2798251093066833,0.3981594390181942,0.25525387449568643,0.3981594390181942,0.6455356797876795,9.703762531280518,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
6,15983,899,0.23581757508342602,0.4546130952380952,0.20491780275261698,0.4546130952380952,0.7056084518064432,9.63969874382019,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
7,15744,1138,0.44112478031634444,0.41243990108972,0.3628612139053837,0.41243990108972,0.7128759148162599,8.488478422164917,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
8,15709,1173,0.36231884057971014,0.3582757701502303,0.3492768006927582,0.3582757701502303,0.6832493940964027,9.574286937713623,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
9,16745,137,0.48905109489051096,0.43678160919540227,0.35233918128654973,0.43678160919540227,0.7348484848484849,8.755146741867065,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
10,16782,100,0.0,0.0,0.0,0.0,0.0,10.416186571121216,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
11,16736,146,0.2808219178082192,0.49798850574712644,0.24569221628045157,0.33199233716475096,0.7242848895187111,14.68986964225769,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
12,15491,1391,0.38245866283249463,0.45454177747157537,0.37808761393922524,0.45454177747157537,0.700085566878777,7.95121169090271,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
13,15322,1560,0.4775641025641026,0.4701279492676602,0.4671541623519307,0.4701279492676602,0.739121567727474,13.593350648880005,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
14,16362,520,0.38653846153846155,0.34655172413793106,0.18820224719101122,0.2310344827586207,0.615872832814362,8.58223271369934,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
15,15856,1026,0.31676413255360625,0.400888567318074,0.2823311470236795,0.400888567318074,0.6983918829815647,9.47528862953186,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
16,16419,463,0.4298056155507559,0.3523035230352303,0.2747669804355851,0.3523035230352303,0.6831947460619245,10.11261510848999,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
17,16633,249,0.5783132530120482,0.38990419111129865,0.3925316303891588,0.38990419111129865,0.7303268777659854,10.222090482711792,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
18,16814,68,0.07352941176470588,0.3494623655913978,0.06820119352088662,0.3494623655913978,0.47522095959595956,10.059705972671509,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
20,16523,359,0.5125348189415042,0.43661726242371407,0.3857724717906856,0.43661726242371407,0.7228971384818782,8.727815628051758,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
21,16452,430,0.30465116279069765,0.32886986365247234,0.30921995623976106,0.32886986365247234,0.6260625219529329,14.320960998535156,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
22,16855,27,0.9629629629629629,0.9375,0.9538461538461538,0.9375,0.9375,10.022018194198608,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
23,16555,327,0.7217125382262997,0.5420054200542005,0.5008657716611572,0.5420054200542005,0.8345004668534081,8.76413631439209,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
24,16816,66,0.8939393939393939,0.5,0.472,0.5,0.5,10.279987812042236,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
25,16493,389,0.35218508997429304,0.15532879818594106,0.18831615120274914,0.15532879818594106,0.6359231411862991,8.765536308288574,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
26,16817,65,0.676923076923077,0.6655931293612453,0.6533551499037004,0.6655931293612453,0.844795321637427,10.012588500976562,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
27,16813,69,0.463768115942029,0.4441930618401207,0.36002897531771655,0.4441930618401207,0.7185450208706022,10.333602666854858,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
28,16807,75,0.4533333333333333,0.5061728395061729,0.4083333333333334,0.5061728395061729,0.7491471734892787,10.144492387771606,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
29,16832,50,0.3,0.3333333333333333,0.15384615384615385,0.3333333333333333,0.6666666666666666,10.075729608535767,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
31,16810,72,0.5694444444444444,0.5740740740740741,0.5538537427549637,0.5740740740740741,0.7975308641975308,10.054231643676758,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
