participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.4554064719810576,0.47015538748948354,0.3843456943740997,0.47015538748948354,0.7587793286313632,0.033126115798950195,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
2,15983,899,0.27363737486095663,0.3100068073519401,0.17374147188244318,0.3100068073519401,0.6567078676224788,0.05627250671386719,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
3,15600,1282,0.516380655226209,0.5027836450122782,0.4245963643983446,0.5027836450122782,0.7507081649527124,0.05755782127380371,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
4,15848,1034,0.30754352030947774,0.3894698312916398,0.25971506344420964,0.3894698312916398,0.7122406520843314,0.05323982238769531,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
5,15281,1601,0.12804497189256714,0.3333333333333333,0.07567368032484312,0.3333333333333333,0.6666666666666666,0.041847944259643555,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
6,15983,899,0.054505005561735265,0.3333333333333333,0.034458509142053444,0.3333333333333333,0.6666666666666666,0.04175233840942383,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
7,15744,1138,0.36291739894551844,0.35096447586628265,0.2229834476084396,0.35096447586628265,0.6759025902380177,0.04123830795288086,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
8,15709,1173,0.34441602728047743,0.3333333333333333,0.17078841682519552,0.3333333333333333,0.6666666666666666,0.04120039939880371,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
9,16745,137,0.35766423357664234,0.3333333333333333,0.18666666666666668,0.3333333333333333,0.6740654205607477,0.04110097885131836,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
10,16782,100,0.0,0.0,0.0,0.0,0.0,0.05302023887634277,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
11,16736,146,0.5205479452054794,0.5623563218390805,0.3249018014357307,0.374904214559387,0.70882800608828,0.04442715644836426,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
12,15491,1391,0.23005032350826743,0.3451713395638629,0.14463920286113183,0.3451713395638629,0.6683621448490783,0.04191088676452637,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
13,15322,1560,0.25064102564102564,0.3333333333333333,0.13360669742012643,0.3333333333333333,0.6666666666666666,0.04178333282470703,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
14,16362,520,0.49038461538461536,0.5318590704647677,0.4406900050735667,0.5318590704647677,0.5318590704647677,0.04229378700256348,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
15,15856,1026,0.20955165692007796,0.3333333333333333,0.115498254096159,0.3333333333333333,0.6666666666666666,0.045433998107910156,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
16,16419,463,0.43844492440604754,0.37347560975609756,0.322860057119543,0.37347560975609756,0.692751977687001,0.043555498123168945,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
17,16633,249,0.6907630522088354,0.3333333333333333,0.2723673792557403,0.3333333333333333,0.6666666666666666,0.04268217086791992,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
18,16814,68,0.058823529411764705,0.3440860215053763,0.04044117647058824,0.3440860215053763,0.6767676767676768,0.04201364517211914,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
20,16523,359,0.4568245125348189,0.4611062675578805,0.4562042504380599,0.4611062675578805,0.7428146980354112,0.0413665771484375,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
21,16452,430,0.3372093023255814,0.47427862645253954,0.3307003606082953,0.47427862645253954,0.7279173008625063,0.041631460189819336,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
22,16855,27,0.2962962962962963,0.5,0.22857142857142856,0.5,0.5,0.042555809020996094,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
23,16555,327,0.29357798165137616,0.41987353206865397,0.2535062535062535,0.41987353206865397,0.6871784174662773,0.042229652404785156,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
24,16816,66,0.15151515151515152,0.5254237288135594,0.14838709677419354,0.5254237288135594,0.5254237288135594,0.04352688789367676,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
25,16493,389,0.2236503856041131,0.336734693877551,0.1258829429042195,0.336734693877551,0.6699453551912568,0.04444527626037598,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
26,16817,65,0.27692307692307694,0.3703703703703704,0.25534591194968553,0.3703703703703704,0.6561904761904762,0.043087005615234375,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
27,16813,69,0.42028985507246375,0.3717948717948718,0.30351818723911744,0.3717948717948718,0.689922480620155,0.043367862701416016,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
28,16807,75,0.32,0.3061728395061728,0.2945205479452055,0.3061728395061728,0.6557504873294348,0.05252575874328613,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
29,16832,50,0.28,0.3466666666666667,0.2192192192192192,0.3466666666666667,0.6699999999999999,0.04387092590332031,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
31,16810,72,0.3611111111111111,0.4012345679012346,0.3792270531400967,0.4012345679012346,0.6728395061728394,0.0430140495300293,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
