participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.5153906866614049,0.522837400983854,0.4935255662258517,0.522837400983854,0.7642132613926695,1.5340113639831543,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
2,15983,899,0.3470522803114572,0.34427879888056884,0.3445920712923079,0.34427879888056884,0.673688190479674,1.5677285194396973,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
3,15600,1282,0.374414976599064,0.3767567132761583,0.35772612298499423,0.3767567132761583,0.6873759088453401,1.2204771041870117,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
4,15848,1034,0.4381044487427466,0.4375396766354213,0.41603473625427584,0.4375396766354213,0.7380359645456837,1.5179598331451416,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
5,15281,1601,0.221736414740787,0.3443815351699953,0.2282047343331387,0.3443815351699953,0.6014968681185827,1.2104063034057617,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
6,15983,899,0.27697441601779754,0.4852078891257996,0.25855716088317654,0.4852078891257996,0.6725281824418973,1.5128388404846191,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
7,15744,1138,0.429701230228471,0.39140906120194524,0.3389062379087317,0.39140906120194524,0.7050575193239065,1.3317458629608154,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
8,15709,1173,0.2958226768968457,0.28405627541888606,0.28298811182002737,0.28405627541888606,0.6555968343589905,1.255406379699707,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
9,16745,137,0.38686131386861317,0.3616858237547893,0.2369974115616911,0.3616858237547893,0.6865264797507789,1.315455436706543,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
10,16782,100,0.38,0.38,0.18357487922705315,0.12666666666666668,0.45999999999999996,1.3766181468963623,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
11,16736,146,0.2671232876712329,0.5017241379310345,0.26939655172413796,0.3344827586206897,0.7379940166902851,1.3417913913726807,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
12,15491,1391,0.3378864126527678,0.42309448890626894,0.331783618746923,0.42309448890626894,0.6772521261295928,1.2184596061706543,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
13,15322,1560,0.483974358974359,0.47799642586685326,0.4727041426613565,0.47799642586685326,0.7426634654103311,1.4828636646270752,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
14,16362,520,0.4673076923076923,0.44460269865067464,0.30110814247672724,0.2964017991004498,0.6549206166147695,1.6488327980041504,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
15,15856,1026,0.21442495126705652,0.33739926427942785,0.12421082506148168,0.33739926427942785,0.6684822019943399,1.2680068016052246,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
16,16419,463,0.4298056155507559,0.35823170731707316,0.2990606857268047,0.35823170731707316,0.685700611280661,1.5820825099945068,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
17,16633,249,0.357429718875502,0.2528419082992164,0.2683045017100135,0.2528419082992164,0.660576497635455,1.31154203414917,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
18,16814,68,0.08823529411764706,0.3548387096774193,0.07513227513227512,0.3548387096774193,0.48074494949494945,1.313443899154663,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
20,16523,359,0.4233983286908078,0.41681681681681687,0.41513464061182753,0.41681681681681687,0.709263275202554,1.641148567199707,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
21,16452,430,0.3627906976744186,0.35050081137037664,0.34636720735906384,0.35050081137037664,0.6439907504975998,1.3206782341003418,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
22,16855,27,0.9629629629629629,0.9375,0.9538461538461538,0.9375,0.9375,1.327293872833252,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
23,16555,327,0.5076452599388379,0.4841233317993557,0.45699747071416813,0.4841233317993557,0.7618426803345452,1.669257640838623,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
24,16816,66,0.8939393939393939,0.5,0.472,0.5,0.5,1.3363571166992188,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
25,16493,389,0.45758354755784064,0.31802721088435376,0.3602239080161664,0.31802721088435376,0.6649022373785101,1.3492014408111572,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
26,16817,65,0.6615384615384615,0.6412238325281803,0.628443218987376,0.6412238325281803,0.8301420217209691,1.3942463397979736,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
27,16813,69,0.463768115942029,0.45098039215686275,0.35423925667828104,0.45098039215686275,0.719886702444842,1.3436143398284912,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
28,16807,75,0.44,0.47901234567901235,0.3869598765432099,0.47901234567901235,0.739083820662768,1.3835175037384033,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
29,16832,50,0.36,0.34222222222222226,0.3335978835978836,0.34222222222222226,0.6719047619047619,1.336099624633789,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
31,16810,72,0.5277777777777778,0.5308641975308642,0.5138123227824224,0.5308641975308642,0.7740740740740741,1.3344459533691406,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
