participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.2983425414364641,0.3609669247541101,0.2998659463785514,0.3609669247541101,0.6925273412480563,23.054823637008667,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
2,15983,899,0.29699666295884314,0.2750775281748733,0.24339791121969342,0.2750775281748733,0.6375709195505687,21.542253017425537,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
3,15600,1282,0.5078003120124805,0.4986538650990983,0.4899168573717718,0.4986538650990983,0.7481590245992088,21.236268281936646,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
4,15848,1034,0.5531914893617021,0.5021944072475987,0.47334902896589925,0.5021944072475987,0.7692022963741519,21.702837467193604,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
5,15281,1601,0.33853841349156777,0.45376221724892213,0.2813094573462546,0.45376221724892213,0.6992091929820363,20.902153253555298,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
6,15983,899,0.05672969966629588,0.3349917081260365,0.03783169014575876,0.3349917081260365,0.6674509803921569,19.937569618225098,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
7,15744,1138,0.31370826010544817,0.3388206205135678,0.2674948857062308,0.3388206205135678,0.6798215807654499,21.978570461273193,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
8,15709,1173,0.4279624893435635,0.39651541465210854,0.29793905750189903,0.39651541465210854,0.7059702726492518,19.622355937957764,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
9,16745,137,0.38686131386861317,0.3563218390804597,0.2244922341696535,0.3563218390804597,0.6831634097989238,23.987310886383057,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
10,16782,100,0.0,0.0,0.0,0.0,0.0,24.902567386627197,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
11,16736,146,0.2465753424657534,0.5011494252873563,0.19115890083632017,0.3340996168582375,0.7087072901905213,22.825398683547974,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
12,15491,1391,0.308411214953271,0.4116022564620696,0.2675782542302385,0.4116022564620696,0.6929544910970652,18.86918067932129,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
13,15322,1560,0.38974358974358975,0.37604144707544357,0.3682525507325407,0.37604144707544357,0.7056571570354828,20.703360080718994,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
14,16362,520,0.4423076923076923,0.400599700149925,0.22637474560206458,0.26706646676661666,0.6324030292546035,21.600441217422485,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
15,15856,1026,0.21052631578947367,0.3341404358353511,0.11720170380759443,0.3341404358353511,0.6670776818742293,20.47743558883667,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
16,16419,463,0.42332613390928725,0.3562838753387534,0.30497465145754116,0.3562838753387534,0.6811180863114482,22.447154998779297,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
17,16633,249,0.6907630522088354,0.3333333333333333,0.27899432278994324,0.3333333333333333,0.6925047029759072,24.97216486930847,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
18,16814,68,0.5441176470588235,0.521505376344086,0.27546754675467544,0.521505376344086,0.6412563131313131,24.10257053375244,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
20,16523,359,0.5793871866295265,0.5654945267848493,0.5439321602320558,0.5654945267848493,0.7905688874304673,24.31430172920227,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
21,16452,430,0.5790697674418605,0.4640833379963814,0.4431341848751722,0.4640833379963814,0.781005834601725,23.840972423553467,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
22,16855,27,0.9629629629629629,0.9375,0.9538461538461538,0.9375,0.9375,25.401021718978882,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
23,16555,327,0.24770642201834864,0.24299909665763328,0.19354571096731377,0.24299909665763328,0.6598227943659734,23.659973859786987,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
24,16816,66,0.7121212121212122,0.3983050847457627,0.415929203539823,0.3983050847457627,0.3983050847457627,24.594213008880615,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
25,16493,389,0.6915167095115681,0.4212018140589569,0.43366114561766733,0.4212018140589569,0.7447270270393652,24.298899173736572,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
26,16817,65,0.5846153846153846,0.6258722490606549,0.5497007313563723,0.6258722490606549,0.804795321637427,25.022573232650757,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
27,16813,69,0.43478260869565216,0.3846153846153846,0.3225396825396825,0.3846153846153846,0.70304114490161,25.032289028167725,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
28,16807,75,0.3466666666666667,0.33580246913580253,0.35929887106357694,0.33580246913580253,0.6899610136452242,24.80257225036621,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
29,16832,50,0.4,0.3666666666666667,0.34268444733561015,0.3666666666666667,0.6861904761904761,24.38458776473999,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
31,16810,72,0.5138888888888888,0.54320987654321,0.5178710178710179,0.54320987654321,0.7654320987654321,24.616257667541504,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
