participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.5453827940015785,0.5518221719594717,0.528147598504511,0.5518221719594717,0.7717200482305291,2.078193426132202,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
2,15983,899,0.40044493882091214,0.3827940397851903,0.3532884046234909,0.3827940397851903,0.698849297479056,299.4089379310608,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
3,15600,1282,0.358814352574103,0.36402516087068254,0.33350645912679927,0.36402516087068254,0.6808386453301586,0.6937496662139893,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
4,15848,1034,0.425531914893617,0.4201055150523236,0.3813904110623844,0.4201055150523236,0.7176725605494818,304.11240673065186,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
5,15281,1601,0.28669581511555275,0.4170775012540296,0.26122358786912936,0.4170775012540296,0.6527504587156999,3.993320941925049,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
6,15983,899,0.054505005561735265,0.3333333333333333,0.034458509142053444,0.3333333333333333,0.6666666666666666,3.0168628692626953,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
7,15744,1138,0.3927943760984183,0.36632248954782626,0.242358275680813,0.36632248954782626,0.6867563761787229,298.15564012527466,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
8,15709,1173,0.41261722080136404,0.3932075239596277,0.3803625436202683,0.3932075239596277,0.7116110096390438,0.6624283790588379,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
9,16745,137,0.40145985401459855,0.37318007662835256,0.2586675345296035,0.37318007662835256,0.6934296233361654,304.923579454422,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
10,16782,100,0.12,0.12,0.07142857142857142,0.04,0.37333333333333335,3.6732349395751953,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
11,16736,146,0.2602739726027397,0.44798850574712645,0.27176916650600863,0.29865900383141764,0.7210071904686925,302.66714310646057,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
12,15491,1391,0.39108554996405465,0.46967847159109927,0.3833645744983121,0.46967847159109927,0.7054088598727063,1.77620267868042,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
13,15322,1560,0.49166666666666664,0.48545537086982216,0.4820662814753256,0.48545537086982216,0.7469169941091044,302.06584453582764,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
14,16362,520,0.39615384615384613,0.35517241379310344,0.19127205199628597,0.23678160919540228,0.6192865105908584,1.6975386142730713,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
15,15856,1026,0.21150097465886938,0.21230549768192652,0.16245181553293878,0.21230549768192652,0.6100691719790492,301.0848078727722,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
16,16419,463,0.42116630669546434,0.34387703252032525,0.25894381223328594,0.34387703252032525,0.6783380093768621,1.8858931064605713,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
17,16633,249,0.5622489959839357,0.3935796789487753,0.38728206937727166,0.3935796789487753,0.7408408497186098,2.852820634841919,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
18,16814,68,0.10294117647058823,0.3602150537634408,0.07309214765718494,0.3602150537634408,0.488320707070707,298.64518117904663,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
20,16523,359,0.4818941504178273,0.4058703865155478,0.3536253201493898,0.4058703865155478,0.7082940986241696,0.6725597381591797,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
21,16452,430,0.5046511627906977,0.4171171171171171,0.35500164380286314,0.4171171171171171,0.6832582055184795,304.24602723121643,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
22,16855,27,0.9629629629629629,0.9375,0.9538461538461538,0.9375,0.9375,3.6820404529571533,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
23,16555,327,0.5871559633027523,0.4775647253327879,0.45019379844961244,0.4775647253327879,0.7803852037268807,3.2546308040618896,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
24,16816,66,0.8181818181818182,0.4576271186440678,0.45,0.4576271186440678,0.4576271186440678,298.31271028518677,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
25,16493,389,0.35218508997429304,0.15532879818594106,0.18831615120274914,0.15532879818594106,0.6359231411862991,0.5850915908813477,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
26,16817,65,0.676923076923077,0.667740203972088,0.6572030799673075,0.667740203972088,0.8418546365914787,304.9563913345337,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
27,16813,69,0.4782608695652174,0.4502262443438914,0.3865302642796249,0.4502262443438914,0.723613595706619,3.776940107345581,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
28,16807,75,0.38666666666666666,0.39999999999999997,0.35821392117387646,0.39999999999999997,0.6988304093567251,302.7915847301483,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
29,16832,50,0.3,0.3333333333333333,0.15384615384615385,0.3333333333333333,0.6666666666666666,1.7337894439697266,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
31,16810,72,0.5694444444444444,0.5740740740740741,0.5633257333941328,0.5740740740740741,0.7975308641975308,301.1479914188385,"hr_perc, hr_recovery_window_1, hr_recovery_window_2"
