participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.6029992107340174,0.5055754103236941,0.49976440340934075,0.5055754103236941,0.7884775902500932,3.365866184234619,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
2,15983,899,0.31590656284760843,0.29097269495499584,0.25031896722464475,0.29097269495499584,0.6425534720721534,3.292111396789551,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
3,15600,1282,0.49375975039001563,0.5072504557462896,0.49477948836670915,0.5072504557462896,0.7470407593444314,3.063302516937256,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
4,15848,1034,0.4932301740812379,0.4759973817553605,0.45797457679138076,0.4759973817553605,0.7503441409095511,3.125638723373413,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
5,15281,1601,0.5927545284197376,0.5260190760935571,0.525484155063079,0.5260190760935571,0.7908163764373534,2.9163947105407715,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
6,15983,899,0.3704115684093437,0.2760342632077707,0.18858965421290577,0.2760342632077707,0.6129423924093231,2.671666383743286,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
7,15744,1138,0.5597539543057997,0.5023990600543011,0.4671869996072389,0.5023990600543011,0.766935448564192,2.723278284072876,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
8,15709,1173,0.34185848252344414,0.42798944388897436,0.3260946801980993,0.42798944388897436,0.689683679547019,2.6866352558135986,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
9,16745,137,0.5401459854014599,0.48719993744624285,0.4866990515845478,0.48719993744624285,0.7546110579353216,3.2600815296173096,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
10,16782,100,0.61,0.61,0.2525879917184265,0.20333333333333334,0.5366666666666666,3.287731885910034,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
11,16736,146,0.19863013698630136,0.39683908045977007,0.17585825027685495,0.26455938697318004,0.6486143914344198,2.7691049575805664,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
12,15491,1391,0.4485981308411215,0.5016621925120077,0.4481109572826483,0.5016621925120077,0.7370459389765833,2.462390184402466,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
13,15322,1560,0.34102564102564104,0.3166918893888791,0.29150207275945617,0.3166918893888791,0.6663278786932032,2.9419267177581787,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
14,16362,520,0.4153846153846154,0.39985007496251873,0.27364938988371507,0.26656671664167914,0.6202360358282397,3.1914448738098145,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
15,15856,1026,0.3567251461988304,0.4549968152604908,0.33101265507088967,0.4549968152604908,0.7118855772457069,2.7463579177856445,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
16,16419,463,0.41252699784017277,0.3336720867208672,0.2186416184971098,0.3336720867208672,0.6674291208358704,2.794433832168579,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
17,16633,249,0.751004016064257,0.5846944948578342,0.5428652573146379,0.5846944948578342,0.746000376435159,3.0721657276153564,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
18,16814,68,0.35294117647058826,0.4516129032258065,0.196969696969697,0.4516129032258065,0.5757575757575758,3.2824032306671143,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
20,16523,359,0.4373259052924791,0.429351932577739,0.41066068204652445,0.429351932577739,0.7289382929176198,2.74843692779541,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
21,16452,430,0.17674418604651163,0.23060078712252627,0.17786188085135088,0.23060078712252627,0.6447556882488389,2.892688035964966,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
22,16855,27,0.1111111111111111,0.11513157894736842,0.10989010989010989,0.11513157894736842,0.11513157894736842,3.2356350421905518,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
23,16555,327,0.5840978593272171,0.45441529886996984,0.47037580102096227,0.45441529886996984,0.8069064505234719,2.8407764434814453,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
24,16816,66,0.16666666666666666,0.09322033898305085,0.09523809523809523,0.062146892655367235,0.4110597500428009,3.1861226558685303,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
25,16493,389,0.5424164524421594,0.23922902494331066,0.25163983303518184,0.23922902494331066,0.6921032088417766,2.7396960258483887,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
26,16817,65,0.5846153846153846,0.5876543209876544,0.4666666666666666,0.5876543209876544,0.8027234753550543,2.8063242435455322,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
27,16813,69,0.2753623188405797,0.3386123680241327,0.23090803211863223,0.3386123680241327,0.6633870005963028,2.7687294483184814,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
28,16807,75,0.37333333333333335,0.35432098765432096,0.34262265512265516,0.35432098765432096,0.687037037037037,3.332580327987671,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
29,16832,50,0.32,0.3644444444444444,0.31497773433257303,0.3644444444444444,0.6811904761904762,3.187675714492798,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
31,16810,72,0.5416666666666666,0.5370370370370371,0.4828282828282828,0.5370370370370371,0.7592592592592592,2.8086678981781006,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
