participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.49171270718232046,0.44019395335184813,0.4669104166799438,0.44019395335184813,0.7472711115436145,0.5669786930084229,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
2,15983,899,0.40155728587319245,0.3848256561530898,0.37449063528220705,0.3848256561530898,0.6934626960427002,0.5559267997741699,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
3,15600,1282,0.4750390015600624,0.4850031979817316,0.4755264211985741,0.4850031979817316,0.7377044598744757,0.5628910064697266,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
4,15848,1034,0.5203094777562862,0.4892742172130469,0.48138482873795346,0.4892742172130469,0.7606743558004601,0.5580828189849854,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
5,15281,1601,0.5465334166146159,0.48796014885108424,0.485091158153315,0.48796014885108424,0.770768244913533,0.5645792484283447,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
6,15983,899,0.36373748609566187,0.2699523217247098,0.19779718583212033,0.2699523217247098,0.6080387581783908,0.5631289482116699,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
7,15744,1138,0.5105448154657294,0.4702808554187092,0.45339449971679185,0.4702808554187092,0.7466869230319885,0.5876483917236328,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
8,15709,1173,0.3742540494458653,0.4451830476527932,0.36873894828366155,0.4451830476527932,0.698802856962765,0.571998119354248,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
9,16745,137,0.40875912408759124,0.4148799749784972,0.4220392128809962,0.4148799749784972,0.6911375376861003,0.582930326461792,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
10,16782,100,0.64,0.64,0.2601626016260163,0.21333333333333335,0.5466666666666666,0.58219313621521,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
