participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.5335438042620363,0.44663484995292774,0.45310994726281467,0.44663484995292774,0.7575050263706244,26.269383668899536,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
2,15983,899,0.44048943270300334,0.4045518493306104,0.33992687625106405,0.4045518493306104,0.7056869349405032,22.32349991798401,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
3,15600,1282,0.5733229329173167,0.6038425791609688,0.47638987197365995,0.6038425791609688,0.7925895270289827,19.396392345428467,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
4,15848,1034,0.534816247582205,0.4532106767346129,0.4213172951941309,0.4532106767346129,0.7422557384497249,22.45100164413452,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
5,15281,1601,0.6583385384134915,0.4959612044305928,0.46766143576668723,0.4959612044305928,0.7889109911897165,24.744153022766113,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
6,15983,899,0.43270300333704115,0.3225538971807628,0.204521556256572,0.3225538971807628,0.6577718876189181,21.19069218635559,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
7,15744,1138,0.4964850615114236,0.42956271275202934,0.3487951234734184,0.42956271275202934,0.7264299548873284,21.079742670059204,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
8,15709,1173,0.3052003410059676,0.40121939644277105,0.2638711360500797,0.40121939644277105,0.6827793856865952,19.99258804321289,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
9,16745,137,0.5693430656934306,0.46938775510204084,0.40763116057233706,0.46938775510204084,0.7532125047947833,24.690288066864014,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
10,16782,100,1.0,1.0,1.0,1.0,0.0,25.43246817588806,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
