participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.606156274664562,0.5084993869318812,0.5021707481168687,0.5084993869318812,0.7898003415728446,2.504981756210327,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
2,15983,899,0.3225806451612903,0.2974699341955979,0.2568068486921746,0.2974699341955979,0.6456872829756627,298.491907119751,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
3,15600,1282,0.4953198127925117,0.5092715862260532,0.48734772792085507,0.5092715862260532,0.7486626040360358,0.41957855224609375,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
4,15848,1034,0.49709864603481624,0.4797190501578799,0.4609384592733344,0.4797190501578799,0.7519276721842938,305.03564286231995,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
5,15281,1601,0.5933791380387258,0.5179228329803512,0.5185020335000242,0.5179228329803512,0.7879764018043663,3.3525795936584473,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
6,15983,899,0.3704115684093437,0.2760342632077707,0.18858965421290577,0.2760342632077707,0.6129423924093231,302.3210439682007,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
7,15744,1138,0.5509666080843585,0.5095752807131727,0.4950118537877888,0.5095752807131727,0.7636613062291282,1.723656415939331,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
8,15709,1173,0.3350383631713555,0.42046234760928886,0.321793149694836,0.42046234760928886,0.685204779639828,3.010441303253174,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
9,16745,137,0.3795620437956204,0.34581280788177343,0.35313217623497994,0.34581280788177343,0.6669624196537719,298.12545824050903,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
10,16782,100,0.5,0.5,0.2222222222222222,0.16666666666666666,0.5,0.4544103145599365,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
11,16736,146,0.2054794520547945,0.4135057471264368,0.1811124213836478,0.27567049808429117,0.659725502545531,305.24320816993713,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
12,15491,1391,0.5456506110711719,0.6032824453602544,0.46946754793910106,0.6032824453602544,0.7976225337259106,3.3690037727355957,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
13,15322,1560,0.34615384615384615,0.3209517402940974,0.2960497706124923,0.3209517402940974,0.6684655427960161,303.0747113227844,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
14,16362,520,0.5019230769230769,0.4571964017991005,0.2598986011850223,0.3047976011994003,0.6564333218006382,1.5627954006195068,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
15,15856,1026,0.35964912280701755,0.45763105181858393,0.3382812024244226,0.45763105181858393,0.7094966594535187,301.4849851131439,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
16,16419,463,0.41252699784017277,0.3336720867208672,0.2186416184971098,0.3336720867208672,0.6674291208358704,1.7622056007385254,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
17,16633,249,0.751004016064257,0.5493042952208107,0.5560273806241548,0.5493042952208107,0.7399449931660267,3.062549591064453,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
18,16814,68,0.11764705882352941,0.3655913978494623,0.07864823348694316,0.3655913978494623,0.5959595959595959,298.1553964614868,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
20,16523,359,0.5181058495821727,0.5154315605928509,0.49149761253183355,0.5154315605928509,0.7653700982373709,0.42691731452941895,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
21,16452,430,0.19767441860465115,0.2284539197582676,0.2003059488185346,0.2284539197582676,0.6637366818873668,304.9979135990143,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
22,16855,27,0.37037037037037035,0.5526315789473684,0.33766233766233766,0.5526315789473684,0.5526315789473684,3.3449037075042725,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
23,16555,327,0.5840978593272171,0.45441529886996984,0.47037580102096227,0.45441529886996984,0.8069064505234719,302.9002480506897,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
24,16816,66,0.21212121212121213,0.11864406779661017,0.1278538812785388,0.07909604519774012,0.7247902756377332,1.4158384799957275,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
25,16493,389,0.5424164524421594,0.23922902494331066,0.25163983303518184,0.23922902494331066,0.6921032088417766,301.17385935783386,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
26,16817,65,0.5846153846153846,0.5876543209876544,0.4656164041010253,0.5876543209876544,0.798512949039265,1.816267728805542,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
27,16813,69,0.2753623188405797,0.3386123680241327,0.23090803211863223,0.3386123680241327,0.6633870005963028,2.5424931049346924,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
28,16807,75,0.4,0.37654320987654327,0.36201266433824575,0.37654320987654327,0.7013888888888888,298.8425648212433,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
29,16832,50,0.34,0.3977777777777778,0.3351797545345932,0.3977777777777778,0.6995238095238095,0.47048497200012207,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
31,16810,72,0.5416666666666666,0.5370370370370371,0.4828282828282828,0.5370370370370371,0.7592592592592592,304.3382000923157,"HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
