participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.5887924230465666,0.4829302987197724,0.46108791011059674,0.4829302987197724,0.7799106240382443,36.727760553359985,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
2,15983,899,0.31590656284760843,0.3063051206414038,0.2893163821714056,0.3063051206414038,0.6576541406977697,44.57372307777405,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
3,15600,1282,0.5733229329173167,0.5831097156281737,0.5586832439715196,0.5831097156281737,0.7863474675954997,36.964815616607666,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
4,15848,1034,0.3723404255319149,0.4062721424556531,0.37480645262604134,0.4062721424556531,0.7192003511587405,44.71648597717285,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
5,15281,1601,0.3485321673953779,0.4563110293634769,0.3562019779981083,0.4563110293634769,0.7227340609767673,42.637271881103516,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
6,15983,899,0.44382647385984425,0.3308457711442786,0.20493066255778122,0.3308457711442786,0.6647963132037737,38.06666326522827,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
7,15744,1138,0.4797891036906854,0.4482451398819494,0.43723022507381143,0.4482451398819494,0.735651078382834,38.73785209655762,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
8,15709,1173,0.41602728047740833,0.4689332502069475,0.41339773824271037,0.4689332502069475,0.7250311980788179,42.85839509963989,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
9,16745,137,0.48175182481751827,0.40156384392837596,0.370036526452221,0.40156384392837596,0.7131895077594829,40.07706928253174,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
10,16782,100,0.71,0.71,0.4152046783625731,0.355,0.355,40.00008821487427,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
