participant,train_samples,test_samples,accuracy,balanced_accuracy,f1_score,sensitivity,specificity,training_time,features_used
1,15615,1267,0.4538279400157853,0.38848590336004524,0.4014289640516487,0.38848590336004524,0.721300272317535,0.3501930236816406,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
2,15983,899,0.39933259176863184,0.3850843355268134,0.3660692611652177,0.3850843355268134,0.6927190267058357,0.40157508850097656,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
3,15600,1282,0.5694227769110765,0.5790810419485425,0.5728490801456522,0.5790810419485425,0.783554078950586,0.45555806159973145,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
4,15848,1034,0.5038684719535783,0.44809046892823484,0.44553320354748,0.44809046892823484,0.7488967930738727,0.35921692848205566,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
5,15281,1601,0.6302311055590256,0.5643181281961215,0.5612145816198995,0.5643181281961215,0.8199751373099717,0.32304859161376953,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
6,15983,899,0.42380422691879865,0.3143027422411751,0.21934319035768313,0.3143027422411751,0.6501928015202209,0.5094687938690186,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
7,15744,1138,0.5246045694200352,0.4885148304457407,0.4439267947795882,0.4885148304457407,0.7523032511767909,0.5205264091491699,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
8,15709,1173,0.35720375106564367,0.4475099683208368,0.3207833289943534,0.4475099683208368,0.7062018165500499,0.32671308517456055,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
9,16745,137,0.5401459854014599,0.4453436547032606,0.3941798941798942,0.4453436547032606,0.7403199151099304,0.4933280944824219,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
10,16782,100,0.93,0.93,0.48186528497409326,0.465,0.465,0.4307692050933838,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
11,16736,146,0.17123287671232876,0.23132183908045978,0.20090090090090093,0.15421455938697318,0.5677636067810844,0.5746703147888184,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
12,15491,1391,0.6556434219985622,0.6781987874793787,0.6414404742619032,0.6781987874793787,0.8328191457574978,0.32607316970825195,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
13,15322,1560,0.2602564102564103,0.25457913080656874,0.19747104481792846,0.25457913080656874,0.6307047710771313,0.34834718704223633,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
14,16362,520,0.4596153846153846,0.4687406296851574,0.32684620709675977,0.31249375312343824,0.6776477146042362,0.5769062042236328,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
15,15856,1026,0.3937621832358674,0.4858757062146893,0.340511991646047,0.4858757062146893,0.7390223330590827,0.5305318832397461,"hr_mean, hr_median, hr_std, hr_min, hr_max, hr_iqr, hr_skew, hr_kurtosis, hr_rmssd, hr_pnn50, hr_range, hr_slope, hr_start, hr_end, hr_sdsd, hr_sampen, hr_second_derivative, hr_perc, hr_recovery_window_1, hr_recovery_window_2, hr_macd_mean, HR Range: 0–40 bpm, HR Range: 40–60 bpm, HR Range: 60–80 bpm, HR Range: 80–100 bpm, HR Range: 100–120 bpm, HR Range: 120–140 bpm, HR Range: 140–160 bpm, HR Range: 160–180 bpm, HR Range: 180–200 bpm, HR Range: >200 bpm"
