,HR_BPM
0 days 00:00:00.616000,1405.467642822293
0 days 00:00:01.616000,182.67900380491173
0 days 00:00:02.616000,2726.9900497512413
0 days 00:00:03.616000,2236.9727047146384
0 days 00:00:04.616000,2001.9681259600598
0 days 00:00:05.616000,2286.787365177194
0 days 00:00:06.616000,3795.180722891563
0 days 00:00:07.616000,178.0462184873948
0 days 00:00:08.616000,200.36429872495498
0 days 00:00:09.616000,211.54156577885374
0 days 00:00:10.616000,194.85903814262073
0 days 00:00:11.616000,101.8099547511311
0 days 00:00:12.616000,222.8619134356842
0 days 00:00:13.616000,2571.9572368418253
0 days 00:00:14.616000,1746.891961085342
0 days 00:00:15.616000,2632.275132275407
0 days 00:00:16.616000,284.5838587641881
0 days 00:00:17.616000,231.11932010237112
0 days 00:00:18.616000,962.301587301556
0 days 00:00:19.616000,164.40826507567243
0 days 00:00:20.616000,336.1649126735318
0 days 00:00:21.616000,2007.013966135418
0 days 00:00:22.616000,2056.206293706499
0 days 00:00:23.616000,186.05870020964335
0 days 00:00:24.616000,638.6408730158734
0 days 00:00:25.616000,2013.6324417603446
0 days 00:00:26.616000,229.2992095623665
0 days 00:00:27.616000,2010.8213241430672
0 days 00:00:28.616000,2636.452241714566
0 days 00:00:29.616000,2626.274328080723
0 days 00:00:30.616000,1660.9594882724202
0 days 00:00:31.616000,3803.5714285701765
0 days 00:00:32.616000,176.06340288924358
0 days 00:00:33.616000,2393.222848580225
0 days 00:00:34.616000,360.649435145204
0 days 00:00:35.616000,2008.127289378329
0 days 00:00:36.616000,2632.9151732369182
0 days 00:00:37.616000,955.3376906317793
0 days 00:00:38.616000,161.23525104897166
0 days 00:00:39.616000,190.78575466365223
0 days 00:00:40.616000,1318.1575196009928
0 days 00:00:41.616000,788.3964918582137
0 days 00:00:42.616000,218.75000000000026
0 days 00:00:43.616000,1993.6371525308223
0 days 00:00:44.616000,3792.1348314594215
0 days 00:00:45.616000,185.43956043955694
0 days 00:00:46.616000,199.4271986331884
0 days 00:00:47.616000,3815.789473682959
0 days 00:00:48.616000,1997.157725580757
0 days 00:00:49.616000,1921.2962962965025
0 days 00:00:50.616000,1999.7893720197594
0 days 00:00:51.616000,3795.1807228936445
0 days 00:00:52.616000,157.3154100915643
0 days 00:00:53.616000,2041.532461790457
0 days 00:00:54.616000,197.48263888888815
0 days 00:00:55.616000,195.64380478559485
0 days 00:00:56.616000,199.37275985662987
0 days 00:00:57.616000,174.64801363106412
0 days 00:00:58.616000,1386.4522417155374
0 days 00:00:59.616000,749.0079365079135
0 days 00:01:00.616000,233.1453634085245
0 days 00:01:01.616000,178.06892222438879
0 days 00:01:02.616000,226.52116402116204
0 days 00:01:03.616000,2577.100115073964
0 days 00:01:04.616000,2049.968474149842
0 days 00:01:05.616000,107.69230769230703
0 days 00:01:06.616000,328.05176454369604
0 days 00:01:07.616000,3805.9701492558092
0 days 00:01:08.616000,2557.478858347896
0 days 00:01:09.616000,238.60167760233048
0 days 00:01:10.616000,2572.8606862353663
0 days 00:01:11.616000,227.5580665411109
0 days 00:01:12.616000,199.3727598566353
0 days 00:01:13.616000,201.9185499058375
0 days 00:01:14.616000,193.45238095237815
0 days 00:01:15.616000,1073.7226318389182
